sample1	sample2	chr	start	end	different
Th132.11	Th134.11	12	1380326	1918303	0
Th132.11	Th134.11	12	1925560	1926679	1
Th132.11	Th134.11	12	1929183	2082929	0
Th132.11	Th134.11	12	2091931	2099417	1
Th132.11	Th134.11	12	2102010	2194975	0
Th132.11	Th134.11	13	77418	245718	0
Th132.11	Th134.11	13	253915	253915	1
Th132.11	Th134.11	13	256727	824908	0
Th132.11	Th134.11	13	827317	828490	1
Th132.11	Th134.11	13	838840	960039	0
Th132.11	Th134.11	13	962800	982539	1
Th132.11	Th134.11	13	984448	1232346	0
Th132.11	Th134.11	13	1245510	1245510	1
Th132.11	Th134.11	13	1255480	1686292	0
Th132.11	Th134.11	13	1693521	1694718	1
Th132.11	Th134.11	13	1706198	1822551	0
Th132.11	Th134.11	13	1828205	1848199	1
Th132.11	Th134.11	13	1870883	1957089	0
Th132.11	Th134.11	13	1958560	1967367	1
Th132.11	Th134.11	13	1970309	2394774	0
Th132.11	Th134.11	13	2410986	2411117	1
Th132.11	Th134.11	13	2412913	2779077	0
Th132.11	Th134.11	13	2810914	2845725	1
Th132.11	Th134.11	14	35055	96990	0
Th132.11	Th134.11	14	97922	114257	1
Th132.11	Th134.11	14	118375	299794	0
Th132.11	Th134.11	14	302437	309530	1
Th132.11	Th134.11	14	310013	570498	0
Th132.11	Th134.11	14	573425	573463	1
Th132.11	Th134.11	14	580087	1047572	0
Th132.11	Th134.11	14	1052881	1054343	1
Th132.11	Th134.11	14	1057940	1164263	0
Th132.11	Th134.11	14	1179640	1195930	1
Th132.11	Th134.11	14	1198380	1228770	0
Th132.11	Th134.11	14	1231736	1245663	1
Th132.11	Th134.11	14	1252007	1515508	0
Th132.11	Th134.11	14	1524250	1527694	1
Th132.11	Th134.11	14	1538791	1889260	0
Th132.11	Th134.11	14	1906388	1918137	1
Th132.11	Th134.11	14	1920481	2060861	0
Th132.11	Th134.11	14	2065823	2084979	1
Th132.11	Th134.11	14	2088746	2305146	0
Th132.11	Th134.11	14	2310514	2320342	1
Th132.11	Th134.11	14	2333016	2338012	0
Th132.11	Th134.11	14	2344536	2344536	1
Th132.11	Th134.11	14	2365027	2469856	0
Th132.11	Th134.11	14	2474456	2474456	1
Th132.11	Th134.11	14	2486316	2659737	0
Th132.11	Th134.11	14	2660748	2662490	1
Th132.11	Th134.11	14	2666138	2788731	0
Th132.11	Th134.11	14	2795164	2799704	1
Th132.11	Th134.11	14	2802921	3046728	0
Th132.11	Th134.11	14	3049967	3055684	1
Th132.11	Th134.11	14	3060089	3179899	0
Th132.11	Th134.11	14	3181603	3189152	1
Th132.11	Th134.11	14	3191346	3255607	0
Th132.11	Th162.12	1	94599	573301	0
Th132.11	Th162.12	2	114668	717916	0
Th132.11	Th162.12	2	718509	719769	1
Th132.11	Th162.12	2	724049	869521	0
Th132.11	Th162.12	3	69859	996702	0
Th132.11	Th162.12	4	89547	1149070	0
Th132.11	Th162.12	5	45718	206083	0
Th132.11	Th162.12	5	207904	209940	1
Th132.11	Th162.12	5	220024	1203561	0
Th132.11	Th162.12	5	1203899	1204155	1
Th132.11	Th162.12	5	1204497	1319772	0
Th132.11	Th162.12	6	77991	1298565	0
Th132.11	Th162.12	7	94499	643011	0
Th132.11	Th162.12	7	656010	656022	1
Th132.11	Th162.12	7	660003	673303	0
Th132.11	Th162.12	7	675259	675951	1
Th132.11	Th162.12	7	680131	941559	0
Th132.11	Th162.12	7	943757	945025	1
Th132.11	Th162.12	7	946220	1049478	0
Th132.11	Th162.12	7	1049966	1049976	1
Th132.11	Th162.12	7	1052717	1376685	0
Th132.11	Th162.12	8	82369	140501	0
Th132.11	Th162.12	8	142207	142558	1
Th132.11	Th162.12	8	145818	224008	0
Th132.11	Th162.12	8	226719	228346	1
Th132.11	Th162.12	8	234509	667191	0
Th132.11	Th162.12	8	670214	672963	1
Th132.11	Th162.12	8	674002	772621	0
Th132.11	Th162.12	8	773741	774910	1
Th132.11	Th162.12	8	777182	900579	0
Th132.11	Th162.12	8	901128	905427	1
Th132.11	Th162.12	8	907275	1055248	0
Th132.11	Th162.12	8	1061135	1064687	1
Th132.11	Th162.12	8	1065620	1369816	0
Th132.11	Th162.12	9	89887	1059896	0
Th132.11	Th162.12	9	1067006	1068367	1
Th132.11	Th162.12	9	1070439	1382372	0
Th132.11	Th162.12	9	1386014	1388528	1
Th132.11	Th162.12	9	1389394	1469912	0
Th132.11	Th162.12	10	61472	1569756	0
Th132.11	Th162.12	11	114541	360567	0
Th132.11	Th162.12	11	370841	373092	1
Th132.11	Th162.12	11	374879	1777488	0
Th132.11	Th162.12	11	1778223	1778244	1
Th132.11	Th162.12	11	1779203	1999124	0
Th132.11	Th162.12	12	59502	1375701	0
Th132.11	Th162.12	12	1376869	1378724	1
Th132.11	Th162.12	12	1380326	1746420	0
Th132.11	Th162.12	12	1748666	1749200	1
Th132.11	Th162.12	12	1751222	1918303	0
Th132.11	Th162.12	12	1925560	1926679	1
Th132.11	Th162.12	12	1929183	2194975	0
Th132.11	Th162.12	13	77418	136657	0
Th132.11	Th162.12	13	139652	144557	1
Th132.11	Th162.12	13	147598	638139	0
Th132.11	Th162.12	13	650672	651734	1
Th132.11	Th162.12	13	652179	824908	0
Th132.11	Th162.12	13	827317	828490	1
Th132.11	Th162.12	13	838840	960039	0
Th132.11	Th162.12	13	962800	982539	1
Th132.11	Th162.12	13	984448	1315816	0
Th132.11	Th162.12	13	1321484	1328316	1
Th132.11	Th162.12	13	1336591	1840778	0
Th132.11	Th162.12	13	1841844	1848199	1
Th132.11	Th162.12	13	1870883	2095180	0
Th132.11	Th162.12	13	2100265	2122041	1
Th132.11	Th162.12	13	2124676	2297724	0
Th132.11	Th162.12	13	2306312	2310021	1
Th132.11	Th162.12	13	2320563	2662085	0
Th132.11	Th162.12	13	2676799	2681242	1
Th132.11	Th162.12	13	2685226	2845725	0
Th132.11	Th162.12	14	35055	118375	0
Th132.11	Th162.12	14	134404	134404	1
Th132.11	Th162.12	14	137844	299794	0
Th132.11	Th162.12	14	302437	304527	1
Th132.11	Th162.12	14	309467	497414	0
Th132.11	Th162.12	14	505411	520831	1
Th132.11	Th162.12	14	522135	597313	0
Th132.11	Th162.12	14	602452	602452	1
Th132.11	Th162.12	14	612582	1164263	0
Th132.11	Th162.12	14	1179640	1195930	1
Th132.11	Th162.12	14	1198380	2305146	0
Th132.11	Th162.12	14	2310514	2320342	1
Th132.11	Th162.12	14	2333016	2338012	0
Th132.11	Th162.12	14	2344536	2344536	1
Th132.11	Th162.12	14	2365027	2627971	0
Th132.11	Th162.12	14	2629232	2636758	1
Th132.11	Th162.12	14	2642073	3046728	0
Th132.11	Th162.12	14	3049967	3051189	1
Th132.11	Th162.12	14	3054172	3255607	0
Th132.11	Th196.12	1	94599	122106	0
Th132.11	Th196.12	1	123978	124050	1
Th132.11	Th196.12	1	124474	431148	0
Th132.11	Th196.12	1	435343	437159	1
Th132.11	Th196.12	1	451383	573301	0
Th132.11	Th196.12	2	114668	717916	0
Th132.11	Th196.12	2	718509	719769	1
Th132.11	Th196.12	2	724049	869521	0
Th132.11	Th196.12	3	69859	996702	0
Th132.11	Th196.12	4	89547	1149070	0
Th132.11	Th196.12	5	45718	206083	0
Th132.11	Th196.12	5	207904	209940	1
Th132.11	Th196.12	5	220024	1319772	0
Th132.11	Th196.12	6	77991	1298565	0
Th132.11	Th196.12	7	94499	941559	0
Th132.11	Th196.12	7	943757	945025	1
Th132.11	Th196.12	7	946220	1049478	0
Th132.11	Th196.12	7	1049966	1049976	1
Th132.11	Th196.12	7	1052717	1376685	0
Th132.11	Th196.12	8	82369	140501	0
Th132.11	Th196.12	8	142207	142558	1
Th132.11	Th196.12	8	145818	224008	0
Th132.11	Th196.12	8	226719	228346	1
Th132.11	Th196.12	8	234509	667191	0
Th132.11	Th196.12	8	670214	672963	1
Th132.11	Th196.12	8	674002	772621	0
Th132.11	Th196.12	8	773741	774910	1
Th132.11	Th196.12	8	777182	900579	0
Th132.11	Th196.12	8	901128	905427	1
Th132.11	Th196.12	8	907275	1027429	0
Th132.11	Th196.12	8	1029034	1031538	1
Th132.11	Th196.12	8	1033055	1055248	0
Th132.11	Th196.12	8	1061135	1064687	1
Th132.11	Th196.12	8	1065620	1369816	0
Th132.11	Th196.12	9	89887	783814	0
Th132.11	Th196.12	9	784469	785069	1
Th132.11	Th196.12	9	786564	1059896	0
Th132.11	Th196.12	9	1067006	1070439	1
Th132.11	Th196.12	9	1072494	1382372	0
Th132.11	Th196.12	9	1386014	1388528	1
Th132.11	Th196.12	9	1389394	1469912	0
Th132.11	Th196.12	10	61472	1569756	0
Th132.11	Th196.12	11	114541	1542299	0
Th132.11	Th196.12	11	1544701	1544848	1
Th132.11	Th196.12	11	1546653	1999124	0
Th132.11	Th196.12	12	59502	198631	0
Th132.11	Th196.12	12	205338	205356	1
Th132.11	Th196.12	12	210127	540698	0
Th132.11	Th196.12	12	543043	543062	1
Th132.11	Th196.12	12	543715	1918303	0
Th132.11	Th196.12	12	1925560	1926679	1
Th132.11	Th196.12	12	1929183	2194975	0
Th132.11	Th196.12	13	77418	85307	0
Th132.11	Th196.12	13	97601	97601	1
Th132.11	Th196.12	13	102854	671989	0
Th132.11	Th196.12	13	676496	678520	1
Th132.11	Th196.12	13	680841	824908	0
Th132.11	Th196.12	13	827317	828490	1
Th132.11	Th196.12	13	838840	960039	0
Th132.11	Th196.12	13	962800	982539	1
Th132.11	Th196.12	13	984448	1295919	0
Th132.11	Th196.12	13	1304354	1315816	1
Th132.11	Th196.12	13	1321484	1840778	0
Th132.11	Th196.12	13	1841844	1848199	1
Th132.11	Th196.12	13	1870883	2845725	0
Th132.11	Th196.12	14	35055	299794	0
Th132.11	Th196.12	14	302437	304527	1
Th132.11	Th196.12	14	309467	841812	0
Th132.11	Th196.12	14	849521	853438	1
Th132.11	Th196.12	14	865296	1185837	0
Th132.11	Th196.12	14	1195930	1204816	1
Th132.11	Th196.12	14	1206875	1237841	0
Th132.11	Th196.12	14	1245663	1245663	1
Th132.11	Th196.12	14	1252007	2026116	0
Th132.11	Th196.12	14	2028144	2028904	1
Th132.11	Th196.12	14	2034751	2305146	0
Th132.11	Th196.12	14	2310514	2320342	1
Th132.11	Th196.12	14	2333016	2338012	0
Th132.11	Th196.12	14	2344536	2344536	1
Th132.11	Th196.12	14	2365027	2580754	0
Th132.11	Th196.12	14	2604994	2604994	1
Th132.11	Th196.12	14	2611093	3046728	0
Th132.11	Th196.12	14	3049967	3055684	1
Th132.11	Th196.12	14	3060089	3182438	0
Th132.11	Th196.12	14	3185580	3189152	1
Th132.11	Th196.12	14	3191346	3255607	0
Th132.11	Th230.12	1	94599	573301	0
Th132.11	Th230.12	2	114668	354450	0
Th132.11	Th230.12	2	357466	359093	1
Th132.11	Th230.12	2	360834	717916	0
Th132.11	Th230.12	2	718509	719769	1
Th132.11	Th230.12	2	724049	869521	0
Th132.11	Th230.12	3	69859	996702	0
Th132.11	Th230.12	4	89547	1143778	0
Th132.11	Th230.12	4	1145867	1145906	1
Th132.11	Th230.12	4	1147895	1149070	0
Th132.11	Th230.12	5	45718	206083	0
Th132.11	Th230.12	5	207904	209940	1
Th132.11	Th230.12	5	220024	1319772	0
Th132.11	Th230.12	6	77991	1298565	0
Th132.11	Th230.12	7	94499	184436	0
Th132.11	Th230.12	7	185118	185277	1
Th132.11	Th230.12	7	186729	941559	0
Th132.11	Th230.12	7	943757	945025	1
Th132.11	Th230.12	7	946220	1049478	0
Th132.11	Th230.12	7	1049966	1049976	1
Th132.11	Th230.12	7	1052717	1376685	0
Th132.11	Th230.12	8	82369	140501	0
Th132.11	Th230.12	8	142207	142558	1
Th132.11	Th230.12	8	145818	224008	0
Th132.11	Th230.12	8	226719	228346	1
Th132.11	Th230.12	8	234509	667191	0
Th132.11	Th230.12	8	670214	672963	1
Th132.11	Th230.12	8	674002	772621	0
Th132.11	Th230.12	8	773741	774910	1
Th132.11	Th230.12	8	777182	900579	0
Th132.11	Th230.12	8	901128	905427	1
Th132.11	Th230.12	8	907275	1055248	0
Th132.11	Th230.12	8	1061135	1064687	1
Th132.11	Th230.12	8	1065620	1343424	0
Th132.11	Th230.12	8	1344521	1346749	1
Th132.11	Th230.12	8	1347171	1369816	0
Th132.11	Th230.12	9	89887	1059896	0
Th132.11	Th230.12	9	1067006	1068367	1
Th132.11	Th230.12	9	1070439	1382372	0
Th132.11	Th230.12	9	1386014	1388528	1
Th132.11	Th230.12	9	1389394	1469912	0
Th132.11	Th230.12	10	61472	1569756	0
Th132.11	Th230.12	11	114541	1023456	0
Th132.11	Th230.12	11	1024514	1025661	1
Th132.11	Th230.12	11	1029940	1999124	0
Th132.11	Th230.12	12	59502	1375701	0
Th132.11	Th230.12	12	1376869	1378724	1
Th132.11	Th230.12	12	1380326	1549233	0
Th132.11	Th230.12	12	1550814	1553420	1
Th132.11	Th230.12	12	1554769	1918303	0
Th132.11	Th230.12	12	1925560	1926679	1
Th132.11	Th230.12	12	1929183	1977699	0
Th132.11	Th230.12	12	1979530	1979709	1
Th132.11	Th230.12	12	1983679	2194975	0
Th132.11	Th230.12	13	77418	599548	0
Th132.11	Th230.12	13	602885	604887	1
Th132.11	Th230.12	13	606824	824908	0
Th132.11	Th230.12	13	827317	828490	1
Th132.11	Th230.12	13	838840	970819	0
Th132.11	Th230.12	13	982151	982539	1
Th132.11	Th230.12	13	984448	1014719	0
Th132.11	Th230.12	13	1020120	1020323	1
Th132.11	Th230.12	13	1021607	1840778	0
Th132.11	Th230.12	13	1841844	1848199	1
Th132.11	Th230.12	13	1870883	2057737	0
Th132.11	Th230.12	13	2070556	2075580	1
Th132.11	Th230.12	13	2078899	2286621	0
Th132.11	Th230.12	13	2294971	2310021	1
Th132.11	Th230.12	13	2320563	2448662	0
Th132.11	Th230.12	13	2449190	2449339	1
Th132.11	Th230.12	13	2455023	2498675	0
Th132.11	Th230.12	13	2502717	2502717	1
Th132.11	Th230.12	13	2516402	2845725	0
Th132.11	Th230.12	14	35055	299794	0
Th132.11	Th230.12	14	302437	304527	1
Th132.11	Th230.12	14	309467	557498	0
Th132.11	Th230.12	14	561639	566185	1
Th132.11	Th230.12	14	567077	788154	0
Th132.11	Th230.12	14	792450	809877	1
Th132.11	Th230.12	14	810641	1185837	0
Th132.11	Th230.12	14	1195930	1195930	1
Th132.11	Th230.12	14	1198380	1539189	0
Th132.11	Th230.12	14	1542663	1545032	1
Th132.11	Th230.12	14	1548194	1730234	0
Th132.11	Th230.12	14	1734908	1734925	1
Th132.11	Th230.12	14	1744001	2069591	0
Th132.11	Th230.12	14	2084979	2084979	1
Th132.11	Th230.12	14	2088746	2176245	0
Th132.11	Th230.12	14	2187829	2187829	1
Th132.11	Th230.12	14	2193646	2305146	0
Th132.11	Th230.12	14	2310514	2320342	1
Th132.11	Th230.12	14	2333016	2690142	0
Th132.11	Th230.12	14	2694039	2694039	1
Th132.11	Th230.12	14	2703922	2741359	0
Th132.11	Th230.12	14	2744990	2748787	1
Th132.11	Th230.12	14	2750535	3046728	0
Th132.11	Th230.12	14	3049967	3055684	1
Th132.11	Th230.12	14	3060089	3182438	0
Th132.11	Th230.12	14	3185580	3189152	1
Th132.11	Th230.12	14	3191346	3255607	0
Th132.11	Th074.13	1	94599	573301	0
Th132.11	Th074.13	2	114668	717916	0
Th132.11	Th074.13	2	718509	719769	1
Th132.11	Th074.13	2	724049	869521	0
Th132.11	Th074.13	3	69859	996702	0
Th132.11	Th074.13	4	89547	466506	0
Th132.11	Th074.13	4	467692	468273	1
Th132.11	Th074.13	4	469338	1149070	0
Th132.11	Th074.13	5	45718	206083	0
Th132.11	Th074.13	5	207904	209940	1
Th132.11	Th074.13	5	220024	659977	0
Th132.11	Th074.13	5	664277	664347	1
Th132.11	Th074.13	5	665498	1319772	0
Th132.11	Th074.13	6	77991	1298565	0
Th132.11	Th074.13	7	94499	1049478	0
Th132.11	Th074.13	7	1049966	1049976	1
Th132.11	Th074.13	7	1052717	1376685	0
Th132.11	Th074.13	8	82369	140501	0
Th132.11	Th074.13	8	142207	142558	1
Th132.11	Th074.13	8	145818	224008	0
Th132.11	Th074.13	8	226719	228346	1
Th132.11	Th074.13	8	234509	659148	0
Th132.11	Th074.13	8	667191	672963	1
Th132.11	Th074.13	8	674002	772621	0
Th132.11	Th074.13	8	773741	774910	1
Th132.11	Th074.13	8	777182	900579	0
Th132.11	Th074.13	8	901128	905427	1
Th132.11	Th074.13	8	907275	1055248	0
Th132.11	Th074.13	8	1061135	1064687	1
Th132.11	Th074.13	8	1065620	1369816	0
Th132.11	Th074.13	9	89887	1059896	0
Th132.11	Th074.13	9	1067006	1068367	1
Th132.11	Th074.13	9	1070439	1382372	0
Th132.11	Th074.13	9	1386014	1388528	1
Th132.11	Th074.13	9	1389394	1469912	0
Th132.11	Th074.13	10	61472	1080967	0
Th132.11	Th074.13	10	1082411	1082450	1
Th132.11	Th074.13	10	1083842	1260145	0
Th132.11	Th074.13	10	1261308	1261674	1
Th132.11	Th074.13	10	1262350	1569756	0
Th132.11	Th074.13	11	114541	1439914	0
Th132.11	Th074.13	11	1440625	1445541	1
Th132.11	Th074.13	11	1447089	1902637	0
Th132.11	Th074.13	11	1908155	1915948	1
Th132.11	Th074.13	11	1934629	1991004	0
Th132.11	Th074.13	11	1991611	1999124	1
Th132.11	Th074.13	12	59502	1375701	0
Th132.11	Th074.13	12	1376869	1378724	1
Th132.11	Th074.13	12	1380326	1918303	0
Th132.11	Th074.13	12	1925560	1926679	1
Th132.11	Th074.13	12	1929183	2194975	0
Th132.11	Th074.13	13	77418	610331	0
Th132.11	Th074.13	13	614665	614665	1
Th132.11	Th074.13	13	623503	736436	0
Th132.11	Th074.13	13	743710	744865	1
Th132.11	Th074.13	13	751730	960039	0
Th132.11	Th074.13	13	962800	982539	1
Th132.11	Th074.13	13	984448	1686292	0
Th132.11	Th074.13	13	1693521	1706198	1
Th132.11	Th074.13	13	1709597	1840778	0
Th132.11	Th074.13	13	1841844	1848199	1
Th132.11	Th074.13	13	1870883	2845725	0
Th132.11	Th074.13	14	35055	42125	0
Th132.11	Th074.13	14	44913	44991	1
Th132.11	Th074.13	14	50148	262938	0
Th132.11	Th074.13	14	267243	280979	1
Th132.11	Th074.13	14	284471	299794	0
Th132.11	Th074.13	14	302437	309530	1
Th132.11	Th074.13	14	310013	341492	0
Th132.11	Th074.13	14	386664	388589	1
Th132.11	Th074.13	14	395484	1185837	0
Th132.11	Th074.13	14	1195930	1195930	1
Th132.11	Th074.13	14	1198380	2305146	0
Th132.11	Th074.13	14	2310514	2320342	1
Th132.11	Th074.13	14	2333016	2338012	0
Th132.11	Th074.13	14	2344536	2344536	1
Th132.11	Th074.13	14	2365027	2558088	0
Th132.11	Th074.13	14	2560369	2577826	1
Th132.11	Th074.13	14	2580541	3046728	0
Th132.11	Th074.13	14	3049967	3066631	1
Th132.11	Th074.13	14	3076521	3179899	0
Th132.11	Th074.13	14	3181603	3194042	1
Th132.11	Th074.13	14	3197333	3247438	0
Th132.11	Th074.13	14	3250700	3250720	1
Th132.11	Th074.13	14	3253703	3255607	0
Th132.11	Th166.12	1	94599	573301	1
Th132.11	Th166.12	2	114668	869521	1
Th132.11	Th166.12	3	69859	996702	1
Th132.11	Th166.12	4	89547	1149070	1
Th132.11	Th166.12	5	45718	1319772	1
Th132.11	Th166.12	6	77991	1208664	1
Th132.11	Th166.12	6	1217154	1238080	0
Th132.11	Th166.12	6	1238724	1239794	1
Th132.11	Th166.12	6	1249356	1298565	0
Th132.11	Th166.12	7	94499	1376685	1
Th132.11	Th166.12	8	82369	1369816	1
Th132.11	Th166.12	9	89887	1469912	1
Th132.11	Th166.12	10	61472	1569756	1
Th132.11	Th166.12	11	114541	1999124	1
Th132.11	Th166.12	12	59502	2194975	1
Th132.11	Th166.12	13	77418	2845725	1
Th132.11	Th166.12	14	35055	3255607	1
Th132.11	Th092.13	1	94599	573301	1
Th132.11	Th092.13	2	114668	869521	1
Th132.11	Th092.13	3	69859	996702	1
Th132.11	Th092.13	4	89547	1149070	1
Th132.11	Th092.13	5	45718	1319772	1
Th132.11	Th092.13	6	77991	1208664	1
Th132.11	Th092.13	6	1217154	1238080	0
Th132.11	Th092.13	6	1238724	1239794	1
Th132.11	Th092.13	6	1249356	1298565	0
Th132.11	Th092.13	7	94499	1376685	1
Th132.11	Th092.13	8	82369	1369816	1
Th132.11	Th092.13	9	89887	1469912	1
Th132.11	Th092.13	10	61472	1569756	1
Th132.11	Th092.13	11	114541	1999124	1
Th132.11	Th092.13	12	59502	2194975	1
Th132.11	Th092.13	13	77418	2845725	1
Th132.11	Th092.13	14	35055	3255607	1
Th132.11	Th211.13	1	94599	573301	1
Th132.11	Th211.13	2	114668	869521	1
Th132.11	Th211.13	3	69859	996702	1
Th132.11	Th211.13	4	89547	1149070	1
Th132.11	Th211.13	5	45718	1319772	1
Th132.11	Th211.13	6	77991	1208664	1
Th132.11	Th211.13	6	1217154	1238080	0
Th132.11	Th211.13	6	1238724	1239794	1
Th132.11	Th211.13	6	1249356	1298565	0
Th132.11	Th211.13	7	94499	1376685	1
Th132.11	Th211.13	8	82369	1369816	1
Th132.11	Th211.13	9	89887	1469912	1
Th132.11	Th211.13	10	61472	1569756	1
Th132.11	Th211.13	11	114541	1999124	1
Th132.11	Th211.13	12	59502	2194975	1
Th132.11	Th211.13	13	77418	2845725	1
Th132.11	Th211.13	14	35055	3255607	1
Th132.11	Th245.13	1	94599	573301	1
Th132.11	Th245.13	2	114668	869521	1
Th132.11	Th245.13	3	69859	996702	1
Th132.11	Th245.13	4	89547	1149070	1
Th132.11	Th245.13	5	45718	1319772	1
Th132.11	Th245.13	6	77991	1208664	1
Th132.11	Th245.13	6	1217154	1238080	0
Th132.11	Th245.13	6	1238724	1239794	1
Th132.11	Th245.13	6	1249356	1298565	0
Th132.11	Th245.13	7	94499	1376685	1
Th132.11	Th245.13	8	82369	1369816	1
Th132.11	Th245.13	9	89887	1469912	1
Th132.11	Th245.13	10	61472	1569756	1
Th132.11	Th245.13	11	114541	1999124	1
Th132.11	Th245.13	12	59502	2194975	1
Th132.11	Th245.13	13	77418	2845725	1
Th132.11	Th245.13	14	35055	3255607	1
Th132.11	Th246.13	1	94599	573301	1
Th132.11	Th246.13	2	114668	869521	1
Th132.11	Th246.13	3	69859	996702	1
Th132.11	Th246.13	4	89547	1149070	1
Th132.11	Th246.13	5	45718	1319772	1
Th132.11	Th246.13	6	77991	1208664	1
Th132.11	Th246.13	6	1217154	1238080	0
Th132.11	Th246.13	6	1238724	1239794	1
Th132.11	Th246.13	6	1249356	1298565	0
Th132.11	Th246.13	7	94499	1376685	1
Th132.11	Th246.13	8	82369	1369816	1
Th132.11	Th246.13	9	89887	1469912	1
Th132.11	Th246.13	10	61472	1569756	1
Th132.11	Th246.13	11	114541	1999124	1
Th132.11	Th246.13	12	59502	2194975	1
Th132.11	Th246.13	13	77418	2845725	1
Th132.11	Th246.13	14	35055	3255607	1
Th132.11	Th068.12	1	94599	573301	1
Th132.11	Th068.12	2	114668	869521	1
Th132.11	Th068.12	3	69859	996702	1
Th132.11	Th068.12	4	89547	1149070	1
Th132.11	Th068.12	5	45718	1319772	1
Th132.11	Th068.12	6	77991	1298565	1
Th132.11	Th068.12	7	94499	139019	0
Th132.11	Th068.12	7	142839	155918	1
Th132.11	Th068.12	7	161906	203227	0
Th132.11	Th068.12	7	207797	312555	1
Th132.11	Th068.12	7	313806	357094	0
Th132.11	Th068.12	7	365656	1376685	1
Th132.11	Th068.12	8	82369	1369816	1
Th132.11	Th068.12	9	89887	1469912	1
Th132.11	Th068.12	10	61472	1569756	1
Th132.11	Th068.12	11	114541	1999124	1
Th132.11	Th068.12	12	59502	2194975	1
Th132.11	Th068.12	13	77418	2845725	1
Th132.11	Th068.12	14	35055	3255607	1
Th132.11	Th061.13	1	94599	573301	1
Th132.11	Th061.13	2	114668	869521	1
Th132.11	Th061.13	3	69859	996702	1
Th132.11	Th061.13	4	89547	1149070	1
Th132.11	Th061.13	5	45718	1319772	1
Th132.11	Th061.13	6	77991	1298565	1
Th132.11	Th061.13	7	94499	203227	0
Th132.11	Th061.13	7	207797	312555	1
Th132.11	Th061.13	7	313806	357094	0
