from	to	chr	start	end	different
Th086.07	Th132.11	7	96181	505769	1
Th086.07	Th132.11	7	599504	1373159	0
Th086.07	Th132.11	8	83129	227113	1
Th086.07	Th132.11	8	237056	807260	0
Th086.07	Th132.11	8	831256	1226116	1
Th086.07	Th132.11	8	1237607	1369816	0
Th086.07	Th132.11	9	89887	206883	0
Th086.07	Th132.11	9	215127	1079262	1
Th086.07	Th132.11	9	1092737	1468673	0
Th086.07	Th132.11	10	62857	248698	0
Th086.07	Th132.11	10	278016	736972	1
Th086.07	Th132.11	10	758639	1519627	0
Th086.07	Th132.11	10	1531014	1566532	1
Th086.07	Th132.11	11	114623	917617	1
Th086.07	Th132.11	11	938388	1344841	0
Th086.07	Th132.11	11	1348097	1687527	1
Th086.07	Th132.11	11	1699474	1978685	0
Th086.07	Th132.11	11	1984797	1999124	1
Th086.07	Th132.11	12	62109	187911	0
Th086.07	Th132.11	12	205356	869316	1
Th086.07	Th132.11	12	881270	2082922	0
Th086.07	Th132.11	12	2099417	2194957	1
Th086.07	Th132.11	13	1954996	1954996	0
Th086.07	Th134.11	1	94591	554668	1
Th086.07	Th134.11	2	117138	190074	1
Th086.07	Th134.11	2	198518	869521	0
Th086.07	Th134.11	3	69859	501571	0
Th086.07	Th134.11	3	505911	758658	1
Th086.07	Th134.11	3	767738	954414	0
Th086.07	Th134.11	3	957816	989071	1
Th086.07	Th134.11	4	89547	872601	0
Th086.07	Th134.11	4	877789	1066458	1
Th086.07	Th134.11	4	1079797	1149070	0
Th086.07	Th134.11	5	52324	257992	0
Th086.07	Th134.11	5	267979	313674	1
Th086.07	Th134.11	5	317990	426199	0
Th086.07	Th134.11	5	451150	1289222	1
Th086.07	Th134.11	6	85178	222995	1
Th086.07	Th134.11	6	227823	1052578	0
Th086.07	Th134.11	6	1070158	1238724	1
Th086.07	Th134.11	7	96181	505769	1
Th086.07	Th134.11	7	599504	1373159	0
Th086.07	Th134.11	8	83129	1143941	0
Th086.07	Th134.11	8	1153170	1226116	1
Th086.07	Th134.11	8	1237607	1369816	0
Th086.07	Th134.11	9	89887	206883	0
Th086.07	Th134.11	9	215127	1393934	1
Th086.07	Th134.11	9	1404958	1468673	0
Th086.07	Th134.11	10	62857	487745	0
Th086.07	Th134.11	10	499877	802588	1
Th086.07	Th134.11	10	818009	1519627	0
Th086.07	Th134.11	10	1531014	1566532	1
Th086.07	Th134.11	11	114623	335485	1
Th086.07	Th134.11	11	349794	1999124	0
Th086.07	Th134.11	12	62109	394704	0
Th086.07	Th134.11	12	438034	869316	1
Th086.07	Th134.11	12	881270	1618119	0
Th086.07	Th134.11	12	1625650	1684951	1
Th086.07	Th134.11	12	1748704	2194957	0
Th086.07	Th134.11	13	1954996	1954996	0
Th086.07	Th196.12	1	94591	554668	1
Th086.07	Th196.12	2	117138	275582	1
Th086.07	Th196.12	2	290044	678434	0
Th086.07	Th196.12	2	701988	801989	1
Th086.07	Th196.12	2	819782	869521	0
Th086.07	Th196.12	3	69859	443515	0
Th086.07	Th196.12	3	451892	989071	1
Th086.07	Th196.12	4	89547	872601	0
Th086.07	Th196.12	4	877789	1066458	1
Th086.07	Th196.12	4	1079797	1149070	0
Th086.07	Th196.12	5	52324	257992	0
Th086.07	Th196.12	5	267979	1289222	1
Th086.07	Th196.12	6	85178	222995	1
Th086.07	Th196.12	6	227823	635359	0
Th086.07	Th196.12	6	656459	1238724	1
Th086.07	Th196.12	7	96181	505769	1
Th086.07	Th196.12	7	599504	1373159	0
Th086.07	Th196.12	8	83129	807260	0
Th086.07	Th196.12	8	831256	1226116	1
Th086.07	Th196.12	8	1237607	1369816	0
Th086.07	Th196.12	9	89887	206883	0
Th086.07	Th196.12	9	215127	1393934	1
Th086.07	Th196.12	9	1404958	1468673	0
Th086.07	Th196.12	10	62857	248698	0
Th086.07	Th196.12	10	278016	802588	1
Th086.07	Th196.12	10	818009	1519627	0
Th086.07	Th196.12	10	1531014	1566532	1
Th086.07	Th196.12	11	114623	917617	1
Th086.07	Th196.12	11	938388	1344841	0
Th086.07	Th196.12	11	1348097	1687527	1
Th086.07	Th196.12	11	1699474	1978685	0
Th086.07	Th196.12	11	1984797	1999124	1
Th086.07	Th196.12	12	62109	394704	0
Th086.07	Th196.12	12	438034	869316	1
Th086.07	Th196.12	12	881270	1618119	0
Th086.07	Th196.12	12	1625650	1684951	1
Th086.07	Th196.12	12	1748704	2194957	0
Th086.07	Th196.12	13	1954996	1954996	0
Th086.07	Th230.12	1	94591	554668	1
Th086.07	Th230.12	2	117138	275582	1
Th086.07	Th230.12	2	290044	678434	0
Th086.07	Th230.12	2	701988	738511	1
Th086.07	Th230.12	2	747956	869521	0
Th086.07	Th230.12	3	69859	443515	0
Th086.07	Th230.12	3	451892	989071	1
Th086.07	Th230.12	4	89547	872601	0
Th086.07	Th230.12	4	877789	1149070	1
Th086.07	Th230.12	5	52324	257992	0
Th086.07	Th230.12	5	267979	1289222	1
Th086.07	Th230.12	6	85178	222995	1
Th086.07	Th230.12	6	227823	1052578	0
Th086.07	Th230.12	6	1070158	1238724	1
Th086.07	Th230.12	7	96181	505769	1
Th086.07	Th230.12	7	599504	1373159	0
Th086.07	Th230.12	8	83129	807260	0
Th086.07	Th230.12	8	831256	1226116	1
Th086.07	Th230.12	8	1237607	1369816	0
Th086.07	Th230.12	9	89887	206883	0
Th086.07	Th230.12	9	215127	1468673	1
Th086.07	Th230.12	10	62857	248698	0
Th086.07	Th230.12	10	278016	802588	1
Th086.07	Th230.12	10	818009	1519627	0
Th086.07	Th230.12	10	1531014	1566532	1
Th086.07	Th230.12	11	114623	1687527	1
Th086.07	Th230.12	11	1699474	1978685	0
Th086.07	Th230.12	11	1984797	1999124	1
Th086.07	Th230.12	12	62109	394704	0
Th086.07	Th230.12	12	438034	869316	1
Th086.07	Th230.12	12	881270	1618119	0
Th086.07	Th230.12	12	1625650	1768654	1
Th086.07	Th230.12	12	1782451	2194957	0
Th086.07	Th230.12	13	1954996	1954996	0
Th086.07	Th074.13	1	94591	192662	1
Th086.07	Th074.13	1	207890	435364	0
Th086.07	Th074.13	1	481114	554668	1
Th086.07	Th074.13	2	117138	275582	1
Th086.07	Th074.13	2	290044	678434	0
Th086.07	Th074.13	2	701988	738511	1
Th086.07	Th074.13	2	747956	869521	0
Th086.07	Th074.13	3	69859	443515	0
Th086.07	Th074.13	3	451892	989071	1
Th086.07	Th074.13	4	89547	462711	0
Th086.07	Th074.13	4	468194	536099	1
Th086.07	Th074.13	4	623632	872601	0
Th086.07	Th074.13	4	877789	1066458	1
Th086.07	Th074.13	4	1079797	1149070	0
Th086.07	Th074.13	5	52324	257992	0
Th086.07	Th074.13	5	267979	1289222	1
Th086.07	Th074.13	6	85178	222995	1
Th086.07	Th074.13	6	227823	1052578	0
Th086.07	Th074.13	6	1070158	1238724	1
Th086.07	Th074.13	7	96181	505769	1
Th086.07	Th074.13	7	599504	1373159	0
Th086.07	Th074.13	8	83129	91317	1
Th086.07	Th074.13	8	117103	807260	0
Th086.07	Th074.13	8	831256	1226116	1
Th086.07	Th074.13	8	1237607	1369816	0
Th086.07	Th074.13	9	89887	206883	0
Th086.07	Th074.13	9	215127	1393934	1
Th086.07	Th074.13	9	1404958	1468673	0
Th086.07	Th074.13	10	62857	248698	0
Th086.07	Th074.13	10	278016	802588	1
Th086.07	Th074.13	10	818009	1235482	0
Th086.07	Th074.13	10	1250919	1342097	1
Th086.07	Th074.13	10	1368830	1519627	0
Th086.07	Th074.13	10	1531014	1566532	1
Th086.07	Th074.13	11	114623	917617	1
Th086.07	Th074.13	11	938388	1344841	0
Th086.07	Th074.13	11	1348097	1999124	1
Th086.07	Th074.13	12	62109	394704	0
Th086.07	Th074.13	12	438034	869316	1
Th086.07	Th074.13	12	881270	1618119	0
Th086.07	Th074.13	12	1625650	1684951	1
Th086.07	Th074.13	12	1748704	2194957	0
Th086.07	Th074.13	13	1954996	1954996	0
Th086.07	Th166.12	1	94591	554668	1
Th086.07	Th166.12	2	117138	869521	1
Th086.07	Th166.12	3	69859	989071	1
Th086.07	Th166.12	4	89547	1149070	1
Th086.07	Th166.12	5	52324	1289222	1
Th086.07	Th166.12	6	85178	1238724	1
Th086.07	Th166.12	7	96181	467947	1
Th086.07	Th166.12	7	470161	471237	0
Th086.07	Th166.12	7	471807	1373159	1
Th086.07	Th166.12	8	83129	1369816	1
Th086.07	Th166.12	9	89887	1468673	1
Th086.07	Th166.12	10	62857	1566532	1
Th086.07	Th166.12	11	114623	1999124	1
Th086.07	Th166.12	12	62109	2194957	1
Th086.07	Th166.12	13	1954996	1954996	1
Th106.09	Th106.11	1	94591	554668	0
Th106.09	Th106.11	2	117138	587338	0
Th106.09	Th106.11	2	604943	719769	1
Th106.09	Th106.11	2	725550	869521	0
Th106.09	Th106.11	3	69859	443515	0
Th106.09	Th106.11	3	451892	505929	1
Th106.09	Th106.11	3	516348	801406	0
Th106.09	Th106.11	3	806413	989071	1
Th106.09	Th106.11	4	89547	1149070	0
Th106.09	Th106.11	5	52324	209940	0
Th106.09	Th106.11	5	224735	619910	1
Th106.09	Th106.11	5	639623	1289222	0
Th106.09	Th106.11	6	85178	1238724	0
Th106.09	Th106.11	7	96181	791030	0
Th106.09	Th106.11	7	804967	821756	1
Th106.09	Th106.11	7	844226	1373159	0
Th106.09	Th106.11	8	83129	926966	0
Th106.09	Th106.11	8	936384	943546	1
Th106.09	Th106.11	8	951697	1369816	0
Th106.09	Th106.11	9	89887	1468673	0
Th106.09	Th106.11	10	62857	1566532	0
Th106.09	Th106.11	11	114623	659735	0
Th106.09	Th106.11	11	676102	749624	1
Th106.09	Th106.11	11	766330	1230473	0
Th106.09	Th106.11	11	1245932	1687527	1
Th106.09	Th106.11	11	1699474	1999124	0
Th106.09	Th106.11	12	62109	2194957	0
Th106.09	Th106.11	13	1954996	1954996	0
Th106.09	Th117.11	1	94591	554668	0
Th106.09	Th117.11	2	117138	678434	0
Th106.09	Th117.11	2	701988	719769	1
Th106.09	Th117.11	2	725550	869521	0
Th106.09	Th117.11	3	69859	443515	0
Th106.09	Th117.11	3	451892	505929	1
Th106.09	Th117.11	3	516348	801406	0
Th106.09	Th117.11	3	806413	989071	1
Th106.09	Th117.11	4	89547	1149070	0
Th106.09	Th117.11	5	52324	355205	0
Th106.09	Th117.11	5	361998	619910	1
Th106.09	Th117.11	5	639623	1289222	0
Th106.09	Th117.11	6	85178	1238724	0
Th106.09	Th117.11	7	96181	1373159	0
Th106.09	Th117.11	8	83129	926966	0
Th106.09	Th117.11	8	936384	943546	1
Th106.09	Th117.11	8	951697	1369816	0
Th106.09	Th117.11	9	89887	260914	0
Th106.09	Th117.11	9	272203	572993	1
Th106.09	Th117.11	9	578189	1468673	0
Th106.09	Th117.11	10	62857	1566532	0
Th106.09	Th117.11	11	114623	659735	0
Th106.09	Th117.11	11	676102	749624	1
Th106.09	Th117.11	11	766330	1069278	0
Th106.09	Th117.11	11	1094639	1687527	1
Th106.09	Th117.11	11	1699474	1999124	0
Th106.09	Th117.11	12	62109	2194957	0
Th106.09	Th117.11	13	1954996	1954996	0
Th106.09	Th132.11	1	94591	554668	0
Th106.09	Th132.11	2	117138	869521	0
Th106.09	Th132.11	3	69859	989071	0
Th106.09	Th132.11	4	89547	1149070	0
Th106.09	Th132.11	5	52324	1289222	0
Th106.09	Th132.11	6	85178	1238724	0
Th106.09	Th132.11	7	96181	1373159	0
Th106.09	Th132.11	8	83129	270847	1
Th106.09	Th132.11	8	282322	1369816	0
Th106.09	Th132.11	9	89887	1468673	0
Th106.09	Th132.11	10	62857	1566532	0
Th106.09	Th132.11	11	114623	1991611	0
Th106.09	Th132.11	11	1993339	1999124	1
Th106.09	Th132.11	12	62109	2194957	0
Th106.09	Th132.11	13	1954996	1954996	0
Th106.09	Th134.11	1	94591	554668	0
Th106.09	Th134.11	2	117138	678434	0
Th106.09	Th134.11	2	701988	719769	1
Th106.09	Th134.11	2	725550	869521	0
Th106.09	Th134.11	3	69859	443515	0
Th106.09	Th134.11	3	451892	989071	1
Th106.09	Th134.11	4	89547	1149070	0
Th106.09	Th134.11	5	52324	355205	0
Th106.09	Th134.11	5	361998	619910	1
Th106.09	Th134.11	5	639623	1289222	0
Th106.09	Th134.11	6	85178	1238724	0
Th106.09	Th134.11	7	96181	791030	0
Th106.09	Th134.11	7	804967	821756	1
Th106.09	Th134.11	7	844226	1373159	0
Th106.09	Th134.11	8	83129	926966	0
Th106.09	Th134.11	8	936384	943546	1
Th106.09	Th134.11	8	951697	1369816	0
Th106.09	Th134.11	9	89887	1468673	0
Th106.09	Th134.11	10	62857	1566532	0
Th106.09	Th134.11	11	114623	659735	0
Th106.09	Th134.11	11	676102	749624	1
Th106.09	Th134.11	11	766330	1230473	0
Th106.09	Th134.11	11	1245932	1687527	1
Th106.09	Th134.11	11	1699474	1999124	0
Th106.09	Th134.11	12	62109	2194957	0
Th106.09	Th134.11	13	1954996	1954996	0
Th106.09	Th196.12	1	94591	435364	1
Th106.09	Th196.12	1	481114	554668	0
Th106.09	Th196.12	2	117138	337669	1
Th106.09	Th196.12	2	360834	869521	0
Th106.09	Th196.12	3	69859	989071	0
Th106.09	Th196.12	4	89547	1149070	0
Th106.09	Th196.12	5	52324	1289222	0
Th106.09	Th196.12	6	85178	1238724	0
Th106.09	Th196.12	7	96181	791030	0
Th106.09	Th196.12	7	804967	821756	1
Th106.09	Th196.12	7	844226	1373159	0
Th106.09	Th196.12	8	83129	1369816	0
Th106.09	Th196.12	9	89887	1468673	0
Th106.09	Th196.12	10	62857	1566532	0
Th106.09	Th196.12	11	114623	1991611	0
Th106.09	Th196.12	11	1993339	1999124	1
Th106.09	Th196.12	12	62109	544926	1
Th106.09	Th196.12	12	561583	2194957	0
Th106.09	Th196.12	13	1954996	1954996	0
Th106.09	Th230.12	1	94591	554668	0
Th106.09	Th230.12	2	117138	337669	1
Th106.09	Th230.12	2	360834	869521	0
Th106.09	Th230.12	3	69859	989071	0
Th106.09	Th230.12	4	89547	1139515	0
Th106.09	Th230.12	4	1145557	1149070	1
Th106.09	Th230.12	5	52324	1289222	0
Th106.09	Th230.12	6	85178	1238724	0
Th106.09	Th230.12	7	96181	791030	0
Th106.09	Th230.12	7	804967	821756	1
Th106.09	Th230.12	7	844226	1186353	0
Th106.09	Th230.12	7	1190243	1373159	1
Th106.09	Th230.12	8	83129	1369816	0
Th106.09	Th230.12	9	89887	1468673	0
Th106.09	Th230.12	10	62857	1566532	0
Th106.09	Th230.12	11	114623	1991611	0
Th106.09	Th230.12	11	1993339	1999124	1
Th106.09	Th230.12	12	62109	2194957	0
Th106.09	Th230.12	13	1954996	1954996	0
Th106.09	Th074.13	1	94591	554668	0
Th106.09	Th074.13	2	117138	869521	0
Th106.09	Th074.13	3	69859	989071	0
Th106.09	Th074.13	4	89547	462711	0
Th106.09	Th074.13	4	468194	491446	1
Th106.09	Th074.13	4	505898	1149070	0
Th106.09	Th074.13	5	52324	1289222	0
Th106.09	Th074.13	6	85178	1238724	0
Th106.09	Th074.13	7	96181	791030	0
Th106.09	Th074.13	7	804967	821756	1
Th106.09	Th074.13	7	844226	1373159	0
Th106.09	Th074.13	8	83129	91317	1
Th106.09	Th074.13	8	117103	1369816	0
Th106.09	Th074.13	9	89887	1468673	0
Th106.09	Th074.13	10	62857	1566532	0
Th106.09	Th074.13	11	114623	1902637	0
Th106.09	Th074.13	11	1910597	1913843	1
Th106.09	Th074.13	11	1934629	1999124	0
Th106.09	Th074.13	12	62109	2194957	0
Th106.09	Th074.13	13	1954996	1954996	0
Th106.09	Th166.12	1	94591	554668	1
Th106.09	Th166.12	2	117138	869521	1
Th106.09	Th166.12	3	69859	989071	1
Th106.09	Th166.12	4	89547	1149070	1
Th106.09	Th166.12	5	52324	1289222	1
Th106.09	Th166.12	6	85178	1238724	1
Th106.09	Th166.12	7	96181	1373159	1
Th106.09	Th166.12	8	83129	1369816	1
Th106.09	Th166.12	9	89887	1468673	1
Th106.09	Th166.12	10	62857	1566532	1
Th106.09	Th166.12	11	114623	1999124	1
Th106.09	Th166.12	12	62109	2194957	1
Th106.09	Th166.12	13	1954996	1954996	1
Th106.11	Th117.11	1	94591	554668	0
Th106.11	Th117.11	2	117138	869521	0
Th106.11	Th117.11	3	69859	989071	0
Th106.11	Th117.11	4	89547	1149070	0
Th106.11	Th117.11	5	52324	257992	0
Th106.11	Th117.11	5	267979	292041	1
Th106.11	Th117.11	5	305368	1289222	0
Th106.11	Th117.11	6	85178	1238724	0
Th106.11	Th117.11	7	96181	1373159	0
Th106.11	Th117.11	8	83129	1369816	0
Th106.11	Th117.11	9	89887	413879	0
Th106.11	Th117.11	9	424314	572993	1
Th106.11	Th117.11	9	578189	1468673	0
Th106.11	Th117.11	10	62857	1566532	0
Th106.11	Th117.11	11	114623	1999124	0
Th106.11	Th117.11	12	62109	2194957	0
Th106.11	Th117.11	13	1954996	1954996	0
Th106.11	Th132.11	1	94591	554668	0
Th106.11	Th132.11	2	117138	678434	0
Th106.11	Th132.11	2	701988	719769	1
Th106.11	Th132.11	2	725550	869521	0
Th106.11	Th132.11	3	69859	443515	0
Th106.11	Th132.11	3	451892	505929	1
Th106.11	Th132.11	3	516348	801406	0
Th106.11	Th132.11	3	806413	989071	1
Th106.11	Th132.11	4	89547	1149070	0
Th106.11	Th132.11	5	52324	209940	0
Th106.11	Th132.11	5	224735	619910	1
Th106.11	Th132.11	5	639623	1289222	0
Th106.11	Th132.11	6	85178	1238724	0
Th106.11	Th132.11	7	96181	1373159	0
Th106.11	Th132.11	8	83129	227113	1
Th106.11	Th132.11	8	237056	512312	0
Th106.11	Th132.11	8	538659	943546	1
Th106.11	Th132.11	8	951697	1369816	0
Th106.11	Th132.11	9	89887	1468673	0
Th106.11	Th132.11	10	62857	673663	0
Th106.11	Th132.11	10	679477	802588	1
Th106.11	Th132.11	10	818009	1566532	0
Th106.11	Th132.11	11	114623	659735	0
Th106.11	Th132.11	11	676102	703107	1
Th106.11	Th132.11	11	709200	1230473	0
Th106.11	Th132.11	11	1245932	1687527	1
Th106.11	Th132.11	11	1699474	1991611	0
Th106.11	Th132.11	11	1993339	1999124	1
Th106.11	Th132.11	12	62109	2194957	0
Th106.11	Th132.11	13	1954996	1954996	0
Th106.11	Th134.11	1	94591	554668	0
Th106.11	Th134.11	2	117138	869521	0
Th106.11	Th134.11	3	69859	719048	0
Th106.11	Th134.11	3	732960	758658	1
Th106.11	Th134.11	3	767738	989071	0
Th106.11	Th134.11	4	89547	1149070	0
Th106.11	Th134.11	5	52324	209940	0
Th106.11	Th134.11	5	224735	292041	1
Th106.11	Th134.11	5	305368	848311	0
Th106.11	Th134.11	5	870028	870064	1
Th106.11	Th134.11	5	877511	1289222	0
Th106.11	Th134.11	6	85178	1238724	0
Th106.11	Th134.11	7	96181	1373159	0
Th106.11	Th134.11	8	83129	1369816	0
Th106.11	Th134.11	9	89887	1468673	0
Th106.11	Th134.11	10	62857	1566532	0
Th106.11	Th134.11	11	114623	1999124	0
Th106.11	Th134.11	12	62109	2194957	0
Th106.11	Th134.11	13	1954996	1954996	0
Th106.11	Th196.12	1	94591	435364	1
Th106.11	Th196.12	1	481114	554668	0
Th106.11	Th196.12	2	117138	275582	1
Th106.11	Th196.12	2	290044	587338	0
Th106.11	Th196.12	2	604943	801989	1
Th106.11	Th196.12	2	819782	869521	0
Th106.11	Th196.12	3	69859	443515	0
Th106.11	Th196.12	3	451892	505929	1
Th106.11	Th196.12	3	516348	801406	0
Th106.11	Th196.12	3	806413	989071	1
Th106.11	Th196.12	4	89547	1149070	0
Th106.11	Th196.12	5	52324	209940	0
Th106.11	Th196.12	5	224735	619910	1
Th106.11	Th196.12	5	639623	1289222	0
Th106.11	Th196.12	6	85178	1238724	0
Th106.11	Th196.12	7	96181	1373159	0
Th106.11	Th196.12	8	83129	926966	0
Th106.11	Th196.12	8	936384	943546	1
Th106.11	Th196.12	8	951697	1369816	0
Th106.11	Th196.12	9	89887	1468673	0
Th106.11	Th196.12	10	62857	1566532	0
Th106.11	Th196.12	11	114623	659735	0
Th106.11	Th196.12	11	676102	703107	1
Th106.11	Th196.12	11	709200	1230473	0
Th106.11	Th196.12	11	1245932	1687527	1
Th106.11	Th196.12	11	1699474	1991611	0
Th106.11	Th196.12	11	1993339	1999124	1
Th106.11	Th196.12	12	62109	529559	0
Th106.11	Th196.12	12	537046	544926	1
Th106.11	Th196.12	12	561583	2194957	0
Th106.11	Th196.12	13	1954996	1954996	0
Th106.11	Th230.12	1	94591	554668	0
Th106.11	Th230.12	2	117138	275582	1
Th106.11	Th230.12	2	290044	587338	0
Th106.11	Th230.12	2	604943	719769	1
Th106.11	Th230.12	2	725550	869521	0
Th106.11	Th230.12	3	69859	443515	0
Th106.11	Th230.12	3	451892	505929	1
Th106.11	Th230.12	3	516348	801406	0
Th106.11	Th230.12	3	806413	989071	1
Th106.11	Th230.12	4	89547	1139515	0
Th106.11	Th230.12	4	1145557	1149070	1
Th106.11	Th230.12	5	52324	257992	0
Th106.11	Th230.12	5	267979	619910	1
Th106.11	Th230.12	5	639623	1289222	0
Th106.11	Th230.12	6	85178	1238724	0
Th106.11	Th230.12	7	96181	1373159	0
Th106.11	Th230.12	8	83129	926966	0
Th106.11	Th230.12	8	936384	943546	1
Th106.11	Th230.12	8	951697	1369816	0
Th106.11	Th230.12	9	89887	1468673	0
Th106.11	Th230.12	10	62857	1566532	0
Th106.11	Th230.12	11	114623	659735	0
Th106.11	Th230.12	11	676102	703107	1
