form	to	chr	start	end	different
Th086.07	Th117.11	6	96728	1208286	1
Th086.07	Th117.11	7	177882	1336649	1
Th086.07	Th117.11	8	86607	268939	0
Th086.07	Th117.11	8	574501	1221692	1
Th086.07	Th117.11	9	220108	1467426	1
Th086.07	Th117.11	10	311043	1531241	1
Th086.07	Th117.11	11	206388	531015	1
Th086.07	Th117.11	11	678277	735896	0
Th086.07	Th117.11	11	905717	1253927	1
Th086.07	Th117.11	11	1348097	1470529	0
Th086.07	Th117.11	11	1557873	1999124	1
Th086.07	Th117.11	12	137605	2120215	1
Th086.07	Th132.11	1	102006	526811	1
Th086.07	Th132.11	2	171009	801989	1
Th086.07	Th132.11	3	451892	959881	1
Th086.07	Th132.11	4	322902	1145906	1
Th086.07	Th132.11	5	245717	1232965	1
Th086.07	Th132.11	6	96728	1208286	1
Th086.07	Th132.11	7	177882	1336649	1
Th086.07	Th132.11	8	86607	1221692	1
Th086.07	Th132.11	9	220108	1467426	1
Th086.07	Th132.11	10	311043	1531241	1
Th086.07	Th132.11	11	206388	1999124	1
Th086.07	Th132.11	12	137605	2120215	1
Th086.07	Th134.11	1	102006	526811	1
Th086.07	Th134.11	2	171009	326554	1
Th086.07	Th134.11	2	604943	719769	0
Th086.07	Th134.11	2	738511	801989	1
Th086.07	Th134.11	3	451892	499984	0
Th086.07	Th134.11	3	505911	758658	1
Th086.07	Th134.11	3	808075	920630	0
Th086.07	Th134.11	3	959791	959881	1
Th086.07	Th134.11	4	322902	1145906	1
Th086.07	Th134.11	5	245717	313674	1
Th086.07	Th134.11	5	370000	383150	0
Th086.07	Th134.11	5	468880	1232965	1
Th086.07	Th134.11	6	96728	1208286	1
Th086.07	Th134.11	7	177882	1336649	1
Th086.07	Th134.11	8	86607	268939	0
Th086.07	Th134.11	8	574501	1221692	1
Th086.07	Th134.11	9	220108	1467426	1
Th086.07	Th134.11	10	311043	1531241	1
Th086.07	Th134.11	11	206388	531015	1
Th086.07	Th134.11	11	678277	735896	0
Th086.07	Th134.11	11	905717	1253927	1
Th086.07	Th134.11	11	1348097	1470529	0
Th086.07	Th134.11	11	1557873	1999124	1
Th086.07	Th134.11	12	137605	2120215	1
Th086.07	Th196.12	1	102006	526811	1
Th086.07	Th196.12	2	171009	801989	1
Th086.07	Th196.12	3	451892	959881	1
Th086.07	Th196.12	4	322902	1145906	1
Th086.07	Th196.12	5	245717	1232965	1
Th086.07	Th196.12	6	96728	1208286	1
Th086.07	Th196.12	7	177882	1336649	1
Th086.07	Th196.12	8	86607	1221692	1
Th086.07	Th196.12	9	220108	1467426	1
Th086.07	Th196.12	10	311043	1531241	1
Th086.07	Th196.12	11	206388	1999124	1
Th086.07	Th196.12	12	137605	2120215	1
Th086.07	Th230.12	1	102006	526811	1
Th086.07	Th230.12	2	171009	801989	1
Th086.07	Th230.12	3	451892	959881	1
Th086.07	Th230.12	4	322902	1145906	1
Th086.07	Th230.12	5	245717	1232965	1
Th086.07	Th230.12	6	96728	1208286	1
Th086.07	Th230.12	7	177882	1336649	1
Th086.07	Th230.12	8	86607	268939	0
Th086.07	Th230.12	8	574501	1221692	1
Th086.07	Th230.12	9	220108	1467426	1
Th086.07	Th230.12	10	311043	1531241	1
Th086.07	Th230.12	11	206388	1999124	1
Th086.07	Th230.12	12	137605	2120215	1
Th086.07	Th074.13	1	102006	526811	1
Th086.07	Th074.13	2	171009	801989	1
Th086.07	Th074.13	3	451892	959881	1
Th086.07	Th074.13	4	322902	1145906	1
Th086.07	Th074.13	5	245717	1232965	1
Th086.07	Th074.13	6	96728	1208286	1
Th086.07	Th074.13	7	177882	1336649	1
Th086.07	Th074.13	8	86607	1221692	1
Th086.07	Th074.13	9	220108	1467426	1
Th086.07	Th074.13	10	311043	1531241	1
Th086.07	Th074.13	11	206388	1999124	1
Th086.07	Th074.13	12	137605	2120215	1
Th106.09	Th106.11	1	102006	526811	0
Th106.09	Th106.11	2	171009	801989	1
Th106.09	Th106.11	3	451892	959881	1
Th106.09	Th106.11	4	322902	1145906	1
Th106.09	Th106.11	5	245717	1232965	1
Th106.09	Th106.11	6	96728	1208286	0
Th106.09	Th106.11	7	177882	320225	1
Th106.09	Th106.11	7	394893	473039	0
Th106.09	Th106.11	7	742920	1336649	1
Th106.09	Th106.11	8	86607	1221692	1
Th106.09	Th106.11	9	220108	1467426	1
Th106.09	Th106.11	10	311043	1531241	1
Th106.09	Th106.11	11	206388	1684273	1
Th106.09	Th106.11	11	1912801	1999124	0
Th106.09	Th106.11	12	137605	2120215	1
Th106.09	Th117.11	1	102006	526811	0
Th106.09	Th117.11	2	171009	801989	1
Th106.09	Th117.11	3	451892	959881	1
Th106.09	Th117.11	4	322902	664114	1
Th106.09	Th117.11	4	889316	1145906	0
Th106.09	Th117.11	5	245717	1232965	1
Th106.09	Th117.11	6	96728	412241	1
Th106.09	Th117.11	6	669642	1208286	0
Th106.09	Th117.11	7	177882	473039	0
Th106.09	Th117.11	7	742920	1336649	1
Th106.09	Th117.11	8	86607	1221692	1
Th106.09	Th117.11	9	220108	1467426	1
Th106.09	Th117.11	10	311043	819018	1
Th106.09	Th117.11	10	1261451	1531241	0
Th106.09	Th117.11	11	206388	1684273	1
Th106.09	Th117.11	11	1912801	1999124	0
Th106.09	Th117.11	12	137605	2120215	1
Th106.09	Th132.11	1	102006	526811	1
Th106.09	Th132.11	2	171009	326554	1
Th106.09	Th132.11	2	604943	801989	0
Th106.09	Th132.11	3	451892	959881	0
Th106.09	Th132.11	4	322902	1145906	0
Th106.09	Th132.11	5	245717	650472	0
Th106.09	Th132.11	5	768870	1232965	1
Th106.09	Th132.11	6	96728	1208286	0
Th106.09	Th132.11	7	177882	1336649	1
Th106.09	Th132.11	8	86607	654470	1
Th106.09	Th132.11	8	863001	1221692	0
Th106.09	Th132.11	9	220108	769373	0
Th106.09	Th132.11	9	936076	1467426	1
Th106.09	Th132.11	10	311043	1531241	1
Th106.09	Th132.11	11	206388	735896	1
Th106.09	Th132.11	11	905717	1470529	0
Th106.09	Th132.11	11	1557873	1999124	1
Th106.09	Th132.11	12	137605	869210	0
Th106.09	Th132.11	12	1179956	2120215	1
Th106.09	Th134.11	1	102006	526811	1
Th106.09	Th134.11	2	171009	326554	0
Th106.09	Th134.11	2	604943	801989	1
Th106.09	Th134.11	3	451892	959881	1
Th106.09	Th134.11	4	322902	1145906	1
Th106.09	Th134.11	5	245717	1232965	1
Th106.09	Th134.11	6	96728	1208286	0
Th106.09	Th134.11	7	177882	1336649	1
Th106.09	Th134.11	8	86607	1221692	1
Th106.09	Th134.11	9	220108	1467426	1
Th106.09	Th134.11	10	311043	819018	1
Th106.09	Th134.11	10	1261451	1531241	0
Th106.09	Th134.11	11	206388	1684273	1
Th106.09	Th134.11	11	1912801	1999124	0
Th106.09	Th134.11	12	137605	2120215	1
Th106.09	Th196.12	1	102006	526811	1
Th106.09	Th196.12	2	171009	326554	1
Th106.09	Th196.12	2	604943	738511	0
Th106.09	Th196.12	2	801989	801989	1
Th106.09	Th196.12	3	451892	959881	0
Th106.09	Th196.12	4	322902	664114	1
Th106.09	Th196.12	4	889316	1145906	0
Th106.09	Th196.12	5	245717	650472	0
Th106.09	Th196.12	5	768870	1232965	1
Th106.09	Th196.12	6	96728	1208286	1
Th106.09	Th196.12	7	177882	1336649	1
Th106.09	Th196.12	8	86607	1221692	1
Th106.09	Th196.12	9	220108	769373	0
Th106.09	Th196.12	9	936076	1467426	1
Th106.09	Th196.12	10	311043	819018	1
Th106.09	Th196.12	10	1261451	1531241	0
Th106.09	Th196.12	11	206388	1431864	0
Th106.09	Th196.12	11	1440625	1999124	1
Th106.09	Th196.12	12	137605	2120215	1
Th106.09	Th230.12	1	102006	526811	1
Th106.09	Th230.12	2	171009	326554	1
Th106.09	Th230.12	2	604943	801989	0
Th106.09	Th230.12	3	451892	959881	0
Th106.09	Th230.12	4	322902	664114	0
Th106.09	Th230.12	4	889316	1145906	1
Th106.09	Th230.12	5	245717	650472	0
Th106.09	Th230.12	5	768870	1232965	1
Th106.09	Th230.12	6	96728	1208286	0
Th106.09	Th230.12	7	177882	1336649	1
Th106.09	Th230.12	8	86607	268939	1
Th106.09	Th230.12	8	574501	1221692	0
Th106.09	Th230.12	9	220108	1386693	0
Th106.09	Th230.12	9	1467426	1467426	1
Th106.09	Th230.12	10	311043	819018	1
Th106.09	Th230.12	10	1261451	1531241	0
Th106.09	Th230.12	11	206388	703107	0
Th106.09	Th230.12	11	735896	1377770	1
Th106.09	Th230.12	11	1382197	1684273	0
Th106.09	Th230.12	11	1912801	1999124	1
Th106.09	Th230.12	12	137605	2120215	1
Th106.09	Th074.13	1	102006	526811	0
Th106.09	Th074.13	2	171009	326554	1
Th106.09	Th074.13	2	604943	801989	0
Th106.09	Th074.13	3	451892	505929	0
Th106.09	Th074.13	3	711795	716463	1
Th106.09	Th074.13	3	758089	959881	0
Th106.09	Th074.13	4	322902	664114	1
Th106.09	Th074.13	4	889316	1145906	0
Th106.09	Th074.13	5	245717	650472	0
Th106.09	Th074.13	5	768870	1232965	1
Th106.09	Th074.13	6	96728	1208286	0
Th106.09	Th074.13	7	177882	473039	0
Th106.09	Th074.13	7	742920	1336649	1
Th106.09	Th074.13	8	86607	268939	1
Th106.09	Th074.13	8	574501	1221692	0
Th106.09	Th074.13	9	220108	769373	0
Th106.09	Th074.13	9	936076	1467426	1
Th106.09	Th074.13	10	311043	1531241	1
Th106.09	Th074.13	11	206388	1684273	0
Th106.09	Th074.13	11	1912801	1999124	1
Th106.09	Th074.13	12	137605	2120215	1
Th106.11	Th117.11	1	102006	526811	0
Th106.11	Th117.11	2	171009	801989	0
Th106.11	Th117.11	3	451892	959881	0
Th106.11	Th117.11	4	322902	1145906	1
Th106.11	Th117.11	5	245717	313674	1
Th106.11	Th117.11	5	370000	1232965	0
Th106.11	Th117.11	6	96728	412241	1
Th106.11	Th117.11	6	669642	1208286	0
Th106.11	Th117.11	7	177882	320225	1
Th106.11	Th117.11	7	394893	1336649	0
Th106.11	Th117.11	8	86607	1221692	0
Th106.11	Th117.11	9	220108	1467426	1
Th106.11	Th117.11	10	311043	1531241	1
Th106.11	Th117.11	11	206388	1999124	0
Th106.11	Th117.11	12	137605	2120215	0
Th106.11	Th132.11	1	102006	526811	1
Th106.11	Th132.11	2	171009	326554	0
Th106.11	Th132.11	2	604943	801989	1
Th106.11	Th132.11	3	451892	959881	1
Th106.11	Th132.11	4	322902	1145906	1
Th106.11	Th132.11	5	245717	1232965	1
Th106.11	Th132.11	6	96728	1208286	0
Th106.11	Th132.11	7	177882	1336649	1
Th106.11	Th132.11	8	86607	1221692	1
Th106.11	Th132.11	9	220108	277413	1
Th106.11	Th132.11	9	361996	1467426	0
Th106.11	Th132.11	10	311043	819018	1
Th106.11	Th132.11	10	1261451	1531241	0
Th106.11	Th132.11	11	206388	1999124	1
Th106.11	Th132.11	12	137605	2120215	1
Th106.11	Th134.11	1	102006	526811	1
Th106.11	Th134.11	2	171009	326554	0
Th106.11	Th134.11	2	604943	604943	1
Th106.11	Th134.11	2	716393	801989	0
Th106.11	Th134.11	3	451892	505929	0
Th106.11	Th134.11	3	711795	758658	1
Th106.11	Th134.11	3	808075	959881	0
Th106.11	Th134.11	4	322902	1145906	1
Th106.11	Th134.11	5	245717	313674	1
Th106.11	Th134.11	5	370000	650472	0
Th106.11	Th134.11	5	768870	1232965	1
Th106.11	Th134.11	6	96728	1208286	0
Th106.11	Th134.11	7	177882	1336649	1
Th106.11	Th134.11	8	86607	1221692	0
Th106.11	Th134.11	9	220108	1467426	1
Th106.11	Th134.11	10	311043	819018	1
Th106.11	Th134.11	10	1261451	1531241	0
Th106.11	Th134.11	11	206388	1999124	0
Th106.11	Th134.11	12	137605	2120215	0
Th106.11	Th196.12	1	102006	526811	1
Th106.11	Th196.12	2	171009	801989	1
Th106.11	Th196.12	3	451892	959881	1
Th106.11	Th196.12	4	322902	1145906	1
Th106.11	Th196.12	5	245717	1232965	1
Th106.11	Th196.12	6	96728	1208286	1
Th106.11	Th196.12	7	177882	1336649	1
Th106.11	Th196.12	8	86607	1221692	1
Th106.11	Th196.12	9	220108	1467426	1
Th106.11	Th196.12	10	311043	1531241	1
Th106.11	Th196.12	11	206388	1999124	1
Th106.11	Th196.12	12	137605	2120215	1
Th106.11	Th230.12	1	102006	526811	1
Th106.11	Th230.12	2	171009	801989	1
Th106.11	Th230.12	3	451892	959881	1
Th106.11	Th230.12	4	322902	1145906	1
Th106.11	Th230.12	5	245717	1232965	1
Th106.11	Th230.12	6	96728	1208286	0
Th106.11	Th230.12	7	177882	1336649	1
Th106.11	Th230.12	8	86607	268939	0
Th106.11	Th230.12	8	574501	1221692	1
Th106.11	Th230.12	9	220108	1467426	1
Th106.11	Th230.12	10	311043	819018	1
Th106.11	Th230.12	10	1261451	1531241	0
Th106.11	Th230.12	11	206388	1999124	1
Th106.11	Th230.12	12	137605	869210	0
Th106.11	Th230.12	12	1179956	2120215	1
Th106.11	Th074.13	1	102006	526811	0
Th106.11	Th074.13	2	171009	326554	0
Th106.11	Th074.13	2	604943	801989	1
Th106.11	Th074.13	3	451892	959881	1
Th106.11	Th074.13	4	322902	1145906	1
Th106.11	Th074.13	5	245717	1232965	1
Th106.11	Th074.13	6	96728	1208286	0
Th106.11	Th074.13	7	177882	320225	1
Th106.11	Th074.13	7	394893	473039	0
Th106.11	Th074.13	7	742920	1336649	1
Th106.11	Th074.13	8	86607	1221692	1
Th106.11	Th074.13	9	220108	277413	1
Th106.11	Th074.13	9	361996	1467426	0
Th106.11	Th074.13	10	311043	1531241	1
Th106.11	Th074.13	11	206388	1999124	1
Th106.11	Th074.13	12	137605	869210	1
Th106.11	Th074.13	12	1179956	2120215	0
Th117.11	Th132.11	1	102006	526811	1
Th117.11	Th132.11	2	171009	326554	0
Th117.11	Th132.11	2	604943	801989	1
Th117.11	Th132.11	3	451892	959881	1
Th117.11	Th132.11	4	322902	1145906	1
Th117.11	Th132.11	5	245717	1232965	1
Th117.11	Th132.11	6	96728	412241	1
Th117.11	Th132.11	6	669642	1208286	0
Th117.11	Th132.11	7	177882	1336649	1
Th117.11	Th132.11	8	86607	1221692	1
Th117.11	Th132.11	9	220108	1467426	1
Th117.11	Th132.11	10	311043	1531241	1
Th117.11	Th132.11	11	206388	1999124	1
Th117.11	Th132.11	12	137605	2120215	1
Th117.11	Th134.11	1	102006	526811	1
Th117.11	Th134.11	2	171009	801989	0
Th117.11	Th134.11	3	451892	505929	0
Th117.11	Th134.11	3	711795	758658	1
Th117.11	Th134.11	3	808075	959881	0
Th117.11	Th134.11	4	322902	1145906	0
Th117.11	Th134.11	5	245717	650472	0
Th117.11	Th134.11	5	768870	1232965	1
Th117.11	Th134.11	6	96728	412241	1
Th117.11	Th134.11	6	669642	1208286	0
Th117.11	Th134.11	7	177882	1336649	1
Th117.11	Th134.11	8	86607	1221692	0
Th117.11	Th134.11	9	220108	1467426	1
Th117.11	Th134.11	10	311043	1531241	0
Th117.11	Th134.11	11	206388	735896	0
Th117.11	Th134.11	11	905717	1127401	1
Th117.11	Th134.11	11	1253927	1999124	0
Th117.11	Th134.11	12	137605	869210	0
Th117.11	Th134.11	12	1179956	1179956	1
Th117.11	Th134.11	12	1378724	2120215	0
Th117.11	Th196.12	1	102006	526811	1
Th117.11	Th196.12	2	171009	801989	1
Th117.11	Th196.12	3	451892	959881	1
Th117.11	Th196.12	4	322902	664114	1
Th117.11	Th196.12	4	889316	1145906	0
Th117.11	Th196.12	5	245717	1232965	1
Th117.11	Th196.12	6	96728	412241	1
Th117.11	Th196.12	6	669642	1208286	0
Th117.11	Th196.12	7	177882	1336649	1
Th117.11	Th196.12	8	86607	1221692	1
Th117.11	Th196.12	9	220108	1467426	1
Th117.11	Th196.12	10	311043	819018	1
Th117.11	Th196.12	10	1261451	1531241	0
Th117.11	Th196.12	11	206388	1999124	1
Th117.11	Th196.12	12	137605	2120215	1
Th117.11	Th230.12	1	102006	526811	1
Th117.11	Th230.12	2	171009	801989	1
Th117.11	Th230.12	3	451892	959881	1
Th117.11	Th230.12	4	322902	1145906	1
Th117.11	Th230.12	5	245717	1232965	1
Th117.11	Th230.12	6	96728	412241	1
Th117.11	Th230.12	6	669642	1208286	0
Th117.11	Th230.12	7	177882	1336649	1
Th117.11	Th230.12	8	86607	268939	0
Th117.11	Th230.12	8	574501	1221692	1
Th117.11	Th230.12	9	220108	1467426	1
Th117.11	Th230.12	10	311043	819018	1
Th117.11	Th230.12	10	1261451	1531241	0
Th117.11	Th230.12	11	206388	1999124	1
Th117.11	Th230.12	12	137605	1179956	0
Th117.11	Th230.12	12	1378724	2120215	1
Th117.11	Th074.13	1	102006	526811	0
Th117.11	Th074.13	2	171009	326554	0
Th117.11	Th074.13	2	604943	801989	1
Th117.11	Th074.13	3	451892	959881	1
Th117.11	Th074.13	4	322902	664114	1
Th117.11	Th074.13	4	889316	1145906	0
Th117.11	Th074.13	5	245717	1232965	1
Th117.11	Th074.13	6	96728	412241	1
Th117.11	Th074.13	6	669642	1208286	0
Th117.11	Th074.13	7	177882	473039	0
Th117.11	Th074.13	7	742920	1336649	1
Th117.11	Th074.13	8	86607	1221692	1
Th117.11	Th074.13	9	220108	1467426	1
Th117.11	Th074.13	10	311043	1531241	1
Th117.11	Th074.13	11	206388	1999124	1
Th117.11	Th074.13	12	137605	869210	1
Th117.11	Th074.13	12	1179956	2120215	0
Th132.11	Th134.11	1	102006	526811	1
Th132.11	Th134.11	2	171009	326554	0
Th132.11	Th134.11	2	604943	801989	1
Th132.11	Th134.11	3	451892	959881	1
Th132.11	Th134.11	4	322902	1145906	1
Th132.11	Th134.11	5	245717	1232965	1
Th132.11	Th134.11	6	96728	1208286	0
Th132.11	Th134.11	7	177882	1336649	1
Th132.11	Th134.11	8	86607	1221692	1
Th132.11	Th134.11	9	220108	1467426	1
Th132.11	Th134.11	10	311043	819018	1
Th132.11	Th134.11	10	1261451	1531241	0
Th132.11	Th134.11	11	206388	1999124	1
Th132.11	Th134.11	12	137605	2120215	1
Th132.11	Th196.12	1	102006	526811	1
Th132.11	Th196.12	2	171009	801989	1
Th132.11	Th196.12	3	451892	959881	0
Th132.11	Th196.12	4	322902	1145906	1
Th132.11	Th196.12	5	245717	1055626	0
Th132.11	Th196.12	5	1132821	1232965	1
Th132.11	Th196.12	6	96728	1208286	1
Th132.11	Th196.12	7	177882	473039	0
Th132.11	Th196.12	7	742920	1336649	1
Th132.11	Th196.12	8	86607	1221692	1
Th132.11	Th196.12	9	220108	769373	0
Th132.11	Th196.12	9	936076	1467426	1
Th132.11	Th196.12	10	311043	1531241	1
Th132.11	Th196.12	11	206388	735896	1
Th132.11	Th196.12	11	905717	1431864	0
Th132.11	Th196.12	11	1440625	1684273	1
Th132.11	Th196.12	11	1912801	1999124	0
Th132.11	Th196.12	12	137605	2120215	1
Th132.11	Th230.12	1	102006	526811	0
Th132.11	Th230.12	2	171009	326554	1
Th132.11	Th230.12	2	604943	801989	0
Th132.11	Th230.12	3	451892	959881	0
Th132.11	Th230.12	4	322902	1145906	0
Th132.11	Th230.12	5	245717	1232965	0
Th132.11	Th230.12	6	96728	1208286	0
Th132.11	Th230.12	7	177882	473039	0
Th132.11	Th230.12	7	742920	1336649	1
Th132.11	Th230.12	8	86607	654470	1
Th132.11	Th230.12	8	863001	1221692	0
Th132.11	Th230.12	9	220108	1075679	0
Th132.11	Th230.12	9	1197245	1467426	1
Th132.11	Th230.12	10	311043	819018	1
Th132.11	Th230.12	10	1261451	1531241	0
Th132.11	Th230.12	11	206388	1377770	1
Th132.11	Th230.12	11	1382197	1470529	0
Th132.11	Th230.12	11	1557873	1684273	1
Th132.11	Th230.12	11	1912801	1999124	0
Th132.11	Th230.12	12	137605	2120215	1
Th132.11	Th074.13	1	102006	526811	1
Th132.11	Th074.13	2	171009	801989	0
Th132.11	Th074.13	3	451892	505929	0
Th132.11	Th074.13	3	711795	716463	1
Th132.11	Th074.13	3	758089	959881	0
Th132.11	Th074.13	4	322902	1145906	1
Th132.11	Th074.13	5	245717	870064	0
Th132.11	Th074.13	5	942932	1232965	1
Th132.11	Th074.13	6	96728	1208286	0
Th132.11	Th074.13	7	177882	1336649	1
Th132.11	Th074.13	8	86607	654470	1
Th132.11	Th074.13	8	863001	1221692	0
Th132.11	Th074.13	9	220108	1467426	0
Th132.11	Th074.13	10	311043	1531241	1
Th132.11	Th074.13	11	206388	735896	1
Th132.11	Th074.13	11	905717	1470529	0
Th132.11	Th074.13	11	1557873	1999124	1
Th132.11	Th074.13	12	137605	2120215	1
Th134.11	Th196.12	1	102006	526811	1
Th134.11	Th196.12	2	171009	801989	1
Th134.11	Th196.12	3	451892	959881	1
Th134.11	Th196.12	4	322902	1145906	1
Th134.11	Th196.12	5	245717	1232965	1
Th134.11	Th196.12	6	96728	1208286	1
Th134.11	Th196.12	7	177882	1336649	1
Th134.11	Th196.12	8	86607	1221692	1
Th134.11	Th196.12	9	220108	1467426	1
Th134.11	Th196.12	10	311043	819018	1
Th134.11	Th196.12	10	1261451	1531241	0
Th134.11	Th196.12	11	206388	1999124	1
Th134.11	Th196.12	12	137605	2120215	1
Th134.11	Th230.12	1	102006	526811	1
Th134.11	Th230.12	2	171009	801989	1
Th134.11	Th230.12	3	451892	959881	1
Th134.11	Th230.12	4	322902	1145906	1
Th134.11	Th230.12	5	245717	1232965	1
Th134.11	Th230.12	6	96728	1208286	0
Th134.11	Th230.12	7	177882	1336649	1
Th134.11	Th230.12	8	86607	268939	0
Th134.11	Th230.12	8	574501	1221692	1
Th134.11	Th230.12	9	220108	1467426	1
Th134.11	Th230.12	10	311043	819018	1
Th134.11	Th230.12	10	1261451	1531241	0
Th134.11	Th230.12	11	206388	1999124	1
Th134.11	Th230.12	12	137605	869210	0
Th134.11	Th230.12	12	1179956	2120215	1
Th134.11	Th074.13	1	102006	526811	1
Th134.11	Th074.13	2	171009	326554	0
Th134.11	Th074.13	2	604943	801989	1
Th134.11	Th074.13	3	451892	959881	1
Th134.11	Th074.13	4	322902	1145906	1
Th134.11	Th074.13	5	245717	1232965	1
Th134.11	Th074.13	6	96728	1208286	0
Th134.11	Th074.13	7	177882	1336649	1
Th134.11	Th074.13	8	86607	1221692	1
Th134.11	Th074.13	9	220108	1467426	1
Th134.11	Th074.13	10	311043	1531241	1
Th134.11	Th074.13	11	206388	1999124	1
Th134.11	Th074.13	12	137605	869210	0
Th134.11	Th074.13	12	1179956	1179956	1
Th134.11	Th074.13	12	1378724	2120215	0
Th196.12	Th230.12	1	102006	526811	1
Th196.12	Th230.12	2	171009	738511	0
Th196.12	Th230.12	2	801989	801989	1
Th196.12	Th230.12	3	451892	959881	0
Th196.12	Th230.12	4	322902	1145906	1
Th196.12	Th230.12	5	245717	1055626	0
Th196.12	Th230.12	5	1132821	1232965	1
Th196.12	Th230.12	6	96728	1208286	1
Th196.12	Th230.12	7	177882	473039	0
Th196.12	Th230.12	7	742920	1336649	1
Th196.12	Th230.12	8	86607	1221692	1
Th196.12	Th230.12	9	220108	769373	0
Th196.12	Th230.12	9	936076	1467426	1
Th196.12	Th230.12	10	311043	819018	1
Th196.12	Th230.12	10	1261451	1531241	0
Th196.12	Th230.12	11	206388	735896	0
Th196.12	Th230.12	11	905717	1377770	1
Th196.12	Th230.12	11	1382197	1999124	0
Th196.12	Th230.12	12	137605	2120215	1
Th196.12	Th074.13	1	102006	526811	1
Th196.12	Th074.13	2	171009	326554	1
Th196.12	Th074.13	2	604943	738511	0
Th196.12	Th074.13	2	801989	801989	1
Th196.12	Th074.13	3	451892	505929	0
Th196.12	Th074.13	3	711795	716463	1
Th196.12	Th074.13	3	758089	959881	0
Th196.12	Th074.13	4	322902	664114	1
Th196.12	Th074.13	4	889316	1145906	0
Th196.12	Th074.13	5	245717	870064	0
Th196.12	Th074.13	5	942932	1232965	1
Th196.12	Th074.13	6	96728	1208286	0
Th196.12	Th074.13	7	177882	1336649	1
Th196.12	Th074.13	8	86607	1221692	1
Th196.12	Th074.13	9	220108	769373	0
Th196.12	Th074.13	9	936076	1467426	1
Th196.12	Th074.13	10	311043	1531241	1
Th196.12	Th074.13	11	206388	1440625	0
Th196.12	Th074.13	11	1470529	1999124	1
Th196.12	Th074.13	12	137605	2120215	1
Th230.12	Th074.13	1	102006	526811	1
Th230.12	Th074.13	2	171009	326554	1
Th230.12	Th074.13	2	604943	801989	0
Th230.12	Th074.13	3	451892	505929	0
Th230.12	Th074.13	3	711795	716463	1
Th230.12	Th074.13	3	758089	959881	0
Th230.12	Th074.13	4	322902	1145906	1
Th230.12	Th074.13	5	245717	870064	0
Th230.12	Th074.13	5	942932	1232965	1
Th230.12	Th074.13	6	96728	1208286	0
Th230.12	Th074.13	7	177882	1336649	1
Th230.12	Th074.13	8	86607	268939	1
Th230.12	Th074.13	8	574501	1221692	0
Th230.12	Th074.13	9	220108	1075679	0
Th230.12	Th074.13	9	1197245	1467426	1
Th230.12	Th074.13	10	311043	819018	0
Th230.12	Th074.13	10	1261451	1531241	1
Th230.12	Th074.13	11	206388	735896	0
Th230.12	Th074.13	11	905717	1377770	1
Th230.12	Th074.13	11	1382197	1684273	0
Th230.12	Th074.13	11	1912801	1999124	1
Th230.12	Th074.13	12	137605	2120215	1
