# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_exon_loss_variant+splice_acceptor_variant+splice_donor_variant+splice_region_variant+intron_variant	variants_effect_exon_loss_variant+splice_acceptor_variant+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_exon_loss_variant+splice_region_variant	variants_effect_exon_loss_variant+start_lost+splice_acceptor_variant+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_exon_loss_variant+start_lost+splice_region_variant+synonymous_variant	variants_effect_frameshift_variant	variants_effect_frameshift_variant+missense_variant	variants_effect_frameshift_variant+splice_acceptor_variant+splice_donor_variant+missense_variant+splice_region_variant+intron_variant	variants_effect_frameshift_variant+splice_acceptor_variant+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_frameshift_variant+start_lost	variants_effect_frameshift_variant+start_lost+missense_variant	variants_effect_frameshift_variant+stop_gained	variants_effect_frameshift_variant+stop_gained+start_lost	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_missense_variant+disruptive_inframe_deletion	variants_effect_missense_variant+inframe_deletion	variants_effect_missense_variant+inframe_insertion	variants_effect_missense_variant+splice_region_variant	variants_effect_non_coding_exon_variant	variants_effect_splice_acceptor_variant+intron_variant	variants_effect_splice_acceptor_variant+splice_donor_variant+missense_variant+disruptive_inframe_deletion+splice_region_variant+intron_variant	variants_effect_splice_donor_variant+inframe_deletion+splice_region_variant+intron_variant	variants_effect_splice_donor_variant+intron_variant	variants_effect_splice_region_variant+intron_variant	variants_effect_splice_region_variant+stop_retained_variant	variants_effect_splice_region_variant+synonymous_variant	variants_effect_start_lost	variants_effect_start_lost+inframe_insertion	variants_effect_start_lost+missense_variant+disruptive_inframe_deletion	variants_effect_start_lost+splice_acceptor_variant+splice_donor_variant+splice_region_variant+intron_variant	variants_effect_start_lost+splice_acceptor_variant+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_start_lost+splice_donor_variant+splice_region_variant+synonymous_variant+intron_variant	variants_effect_start_lost+splice_region_variant	variants_effect_start_lost+splice_region_variant+synonymous_variant	variants_effect_stop_gained	variants_effect_stop_gained+disruptive_inframe_insertion	variants_effect_stop_gained+inframe_insertion	variants_effect_stop_gained+splice_region_variant	variants_effect_stop_lost	variants_effect_stop_lost+splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_NONE	total_score_NONE	length_NONE	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_DONOR	total_score_SPLICE_SITE_DONOR	length_SPLICE_SITE_DONOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM
PF3D7_0710900	PF3D7_0710900	rna_PF3D7_0710900-1		51	0	1	585	0	0	178	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	178	0	5000	52	0	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	407	0	5000
PF3D7_0711000	PF3D7_0711000	rna_PF3D7_0711000-1		0	6	5	624	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	368	256	0	5000	11	0	3690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	5000
PF3D7_0711100	PF3D7_0711100	rna_PF3D7_0711100-1		0	1	1	387	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	293	94	0	5000	2	0	714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	5000
PF3D7_0711200	PF3D7_0711200	rna_PF3D7_0711200-1		1	4	10	657	0	1	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	363	294	0	5000	14	0	3003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3003	363	0	5000
PF3D7_0711300	PF3D7_0711300	rna_PF3D7_0711300-1		0	0	0	526	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	152	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	5000
PF3D7_0711400	PF3D7_0711400	rna_PF3D7_0711400-1		5	2	31	371	1	0	265	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	2	106	265	0	5000	38	0	2187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	5000
PF3D7_0711500	PF3D7_0711500	rna_PF3D7_0711500-1		0	1	1	246	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	149	97	0	5000	2	0	2067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	5000
PF3D7_0711600	PF3D7_0711600	rna_PF3D7_0711600-1		0	0	0	134	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	85	0	5000	1	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	5000
PF3D7_0711700	PF3D7_0711700	rna_PF3D7_0711700-1		1	18	76	327	1	1	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	60	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	18	171	96	0	5000	95	0	5253	60	0	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	5000
PF3D7_0711800	PF3D7_0711800	rna_PF3D7_0711800-1		0	0	0	223	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	88	0	5000	7	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	5000
PF3D7_0711900	PF3D7_0711900	rna_PF3D7_0711900-1		2	10	14	397	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	9	227	170	0	5000	25	0	954	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	227	0	5000
PF3D7_0712000	PF3D7_0712000	rna_PF3D7_0712000-1		0	16	6	344	1	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	14	132	0	5000	22	0	1350	198	0	966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	5000
PF3D7_0712100	PF3D7_0712100	rna_PF3D7_0712100-1		0	0	0	66	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	61	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000
PF3D7_0712200	PF3D7_0712200	rna_PF3D7_0712200-1		0	0	0	364	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	14	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	5000
PF3D7_0712300	PF3D7_0712300	rna_PF3D7_0712300-1		6	30	144	616	0	0	61	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	4	0	179	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	30	376	61	0	5000	180	0	5367	179	0	811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	5000
PF3D7_0712400	PF3D7_0712400	rna_PF3D7_0712400-1		1	48	86	527	3	1	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	17	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	48	283	227	0	5000	135	0	1248	17	0	726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	5000
PF3D7_0712500	PF3D7_0712500	rna_PF3D7_0712500-1		6	64	168	561	1	0	49	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	11	165	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	63	501	49	0	5000	236	0	72	11	0	118	0	0	0	0	0	0	1	0	72	1	0	6	0	0	0	501	0	5000
PF3D7_0712600	PF3D7_0712600	rna_PF3D7_0712600-1		5	37	150	875	4	0	520	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	209	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	37	146	520	0	5000	192	0	5295	209	0	935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	5000
PF3D7_0712700	PF3D7_0712700	rna_PF3D7_0712700-1		0	0	0	551	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	242	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	5000
PF3D7_0712800	PF3D7_0712800	rna_PF3D7_0712800-1		33	98	362	936	5	4	129	0	0	0	0	0	0	13	0	0	0	0	0	1	0	1	7	0	211	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	98	596	129	0	5000	493	0	5283	211	0	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	596	0	5000
PF3D7_0712900	PF3D7_0712900	rna_PF3D7_0712900-1		4	64	183	535	1	2	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	140	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	64	142	253	0	5000	251	0	5346	140	0	829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	5000
PF3D7_0713000	PF3D7_0713000	rna_PF3D7_0713000-1		0	4	14	250	1	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	119	122	0	5000	18	0	972	9	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	5000
PF3D7_0713100	PF3D7_0713100	rna_PF3D7_0713100-1		0	3	15	257	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	148	109	0	5000	18	0	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	5000
PF3D7_0713200	PF3D7_0713200	rna_PF3D7_0713200-1		1	1	3	245	0	0	142	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	103	142	0	5000	5	0	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	5000
PF3D7_0713300	PF3D7_0713300	rna_PF3D7_0713300-1		0	4	13	299	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	124	175	0	5000	17	0	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	5000
PF3D7_0713400	PF3D7_0713400	rna_PF3D7_0713400-1		0	1	0	239	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	102	136	0	5000	1	0	971	1	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	5000
PF3D7_0713500	PF3D7_0713500	rna_PF3D7_0713500-1		0	6	12	354	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	179	175	0	5000	18	0	2865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	5000
PF3D7_0713600	PF3D7_0713600	rna_PF3D7_0713600-1		0	3	4	550	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	134	411	0	5000	7	0	686	5	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	5000
PF3D7_0713700	PF3D7_0713700	rna_PF3D7_0713700-1		0	13	0	454	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	140	0	5000	0	0	0	35	0	146	0	0	0	0	0	0	0	0	0	13	0	6	0	0	0	279	0	5000
PF3D7_0713800	PF3D7_0713800	rna_PF3D7_0713800-1		2	1	12	453	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	167	286	0	5000	13	0	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	687	167	0	5000
PF3D7_0713900	PF3D7_0713900	rna_PF3D7_0713900-1		19	16	46	675	1	3	270	0	0	0	0	0	0	14	0	0	0	0	0	0	0	4	8	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	16	405	270	0	5000	81	0	10710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	5000
PF3D7_0714000	PF3D7_0714000	rna_PF3D7_0714000-1		0	0	0	672	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	248	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	0	5000
PF3D7_0714100	PF3D7_0714100	rna_PF3D7_0714100-1		0	0	2	723	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	452	0	5000	2	0	2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	5000
PF3D7_0714200	PF3D7_0714200	rna_PF3D7_0714200-1		0	2	9	629	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	322	307	0	5000	11	0	4086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	5000
PF3D7_0714300	PF3D7_0714300	rna_PF3D7_0714300-1		89	2	26	575	0	0	258	12	6	0	6	25	25	5	0	0	0	0	0	6	0	1	6	0	60	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	257	258	0	5000	117	0	3454	60	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	5000
PF3D7_0714400	PF3D7_0714400	rna_PF3D7_0714400-1		0	0	0	512	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	139	0	5000	0	0	0	2	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	0	5000
PF3D7_0714500	PF3D7_0714500	rna_PF3D7_0714500-1		0	0	2	558	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	261	0	5000	2	0	1212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	5000
PF3D7_0714600	PF3D7_0714600	rna_PF3D7_0714600-1		29	19	63	540	3	7	209	0	0	0	0	0	0	11	3	0	0	1	0	6	0	0	0	0	0	52	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	3	0	0	0	0	19	331	209	0	5000	110	0	1728	0	0	0	1	0	1728	0	0	0	0	0	0	0	0	0	0	0	0	331	0	5000
PF3D7_0714700	PF3D7_0714700	rna_PF3D7_0714700-1		0	0	0	647	0	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	388	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	5000
PF3D7_0714800	PF3D7_0714800	rna_PF3D7_0714800-1		0	0	0	683	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	424	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	5000
PF3D7_0714900	PF3D7_0714900	rna_PF3D7_0714900-1		0	0	0	681	0	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	308	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	5000
PF3D7_0715000	PF3D7_0715000	rna_PF3D7_0715000-1		0	1	0	575	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	245	330	0	5000	1	0	969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	5000
