CHR	ST	EN	comb_SM-7LV7V_PC.CNVs	comb_SM-7LV7W_PC.CNVs	comb_SM-7LV7X_PC.CNVs	comb_SM-7LV7Y_PC.CNVs	comb_SM-7LV7Z_PC.CNVs	comb_SM-7LV81_PC.CNVs	comb_SM-7LV82_PC.CNVs	comb_SM-7LV83_PC.CNVs	comb_SM-7LV84_PC.CNVs	comb_SM-7LV85_PC.CNVs	comb_SM-7LV86_PC.CNVs	comb_SM-7LV87_PC.CNVs	comb_SM-7LV88_PC.CNVs	comb_SM-7LV89_PC.CNVs	comb_SM-7LV8A_PC.CNVs	comb_SM-7LV8B_PC.CNVs	comb_SM-7LV8C_PC.CNVs	comb_SM-7LV8D_PC.CNVs
Pf3D7_06_v3	44033	44113	-	-	-	-	-	-	-	-			-				-			
Pf3D7_06_v3	44114	46026	-	-	-	-	-	-	-	-										
Pf3D7_06_v3	46027	46635	-	-		-	-	-	-	-										
Pf3D7_06_v3	46636	46897	-	-		-	-		-	-										
Pf3D7_06_v3	46898	47035	-	-		-	-			-										
Pf3D7_06_v3	47036	49978	-	-			-			-										
Pf3D7_06_v3	49979	49980	-	-			-													
Pf3D7_06_v3	49981	51780		-																
Pf3D7_06_v3	732832	733031							-											
Pf3D7_06_v3	733032	733331		-		-		-	-											
Pf3D7_06_v3	733332	737835		-		-		-	-	-										
Pf3D7_06_v3	737836	737935							-											
Pf3D7_06_v3	1313318	1313417		-					-											
Pf3D7_06_v3	1313418	1314038		-				-	-											
Pf3D7_06_v3	1314039	1314119		-	-			-	-											
Pf3D7_06_v3	1314120	1314640			-															
Pf3D7_06_v3	1317178	1317328											-				-			
Pf3D7_06_v3	1317329	1318189								-			-				-			
Pf3D7_06_v3	1318190	1318281								-			-							
Pf3D7_06_v3	1318282	1318289							-	-			-							
Pf3D7_06_v3	1318290	1318381							-	-										
Pf3D7_06_v3	1318382	1319293		-			-	-	-	-										
Pf3D7_06_v3	1319294	1320291		-		-	-	-	-	-										
Pf3D7_06_v3	1320292	1320883		-		-		-	-	-										
Pf3D7_06_v3	1320884	1320954		-		-		-	-	-			-							
Pf3D7_06_v3	1320955	1321033		-		-		-	-	-			-	-						
Pf3D7_06_v3	1321034	1321393		-		-	-	-	-	-			-	-						
Pf3D7_06_v3	1321394	1322541		-		-	-	-	-	-			-	-			-			
Pf3D7_06_v3	1322542	1323511		-		-	-	-	-				-	-			-			
Pf3D7_06_v3	1323512	1324139		-		-	-	-	-				-	-						
Pf3D7_06_v3	1324140	1324511		-		-		-	-				-	-						
Pf3D7_06_v3	1324512	1324688		-				-	-				-	-						
Pf3D7_06_v3	1324689	1324861		-				-	-					-						
Pf3D7_06_v3	1324862	1330391		-				-	-											
Pf3D7_06_v3	1330392	1332091		-					-											
Pf3D7_06_v3	1332092	1334991		-																
Pf3D7_06_v3	1338129	1339546											-				-			
Pf3D7_06_v3	1339547	1339646											-							
Pf3D7_06_v3	1350558	1350858			-															
Pf3D7_06_v3	1356292	1356309											-							
Pf3D7_06_v3	1356310	1356458							-				-							
Pf3D7_06_v3	1356459	1358405				-		-	-				-							
Pf3D7_06_v3	1358406	1367530				-		-	-				-				-			
Pf3D7_06_v3	1367531	1367703				-		-					-				-			
Pf3D7_06_v3	1367704	1368132											-				-			
Pf3D7_06_v3	1368133	1369032															-			
Pf3D7_07_v3	28936	29435		-																
Pf3D7_07_v3	29436	46820		-				-												
Pf3D7_07_v3	46821	47820						-												
Pf3D7_07_v3	51255	52660		-	-	-				-										
Pf3D7_07_v3	52661	53260			-	-				-										
Pf3D7_07_v3	62928	63920											-	-			-			
Pf3D7_07_v3	63921	64300						-					-	-			-			
Pf3D7_07_v3	64301	64428	-	-			-	-	-	-			-	-			-			
Pf3D7_07_v3	64429	66828	-	-			-	-	-	-			-				-			
Pf3D7_07_v3	66829	70047	-	-			-	-	-	-										
Pf3D7_07_v3	70048	70418	-	-			-		-	-										
Pf3D7_07_v3	70419	71218	-																	
Pf3D7_07_v3	510224	511429					-	-												
Pf3D7_07_v3	514464	516263						-												
Pf3D7_07_v3	516264	523112						-	-											
Pf3D7_07_v3	523113	524263						-	-				-							
Pf3D7_07_v3	524264	524563						-	-				-				-			
Pf3D7_07_v3	524564	526400			-			-	-				-				-			
Pf3D7_07_v3	526401	528061			-		-	-	-				-				-			
Pf3D7_07_v3	528062	534738			-		-	-	-				-	-			-			
Pf3D7_07_v3	534739	552804			-			-	-				-	-			-			
Pf3D7_07_v3	552805	554379			-			-					-	-			-			
Pf3D7_07_v3	554380	554863			-								-	-			-			
Pf3D7_07_v3	554864	555409			-			-					-	-			-			
Pf3D7_07_v3	555410	555563			-			-					-	!			-			
Pf3D7_07_v3	555564	556208			-		-	-					-	!			-			
Pf3D7_07_v3	556209	558549			-		-	-					-	+			-			
Pf3D7_07_v3	558550	563104			-		-	-						+			-			
Pf3D7_07_v3	563105	574155					-	-						+			-			
Pf3D7_07_v3	574156	574855					-							+			-			
Pf3D7_07_v3	574856	576057												+			-			
Pf3D7_07_v3	576058	579970		-										+			-			
Pf3D7_07_v3	579971	810230												+			-			
Pf3D7_07_v3	810231	811542						-						+			-			
Pf3D7_07_v3	811543	974999												+			-			
Pf3D7_07_v3	975000	994155												!			-			
Pf3D7_07_v3	994156	1360388												-			-			
Pf3D7_07_v3	1360389	1360804		-	-		-		-	-			-	-			-			
Pf3D7_07_v3	1360805	1386741												-			-			
Pf3D7_07_v3	1386742	1388344					-							-			-			
Pf3D7_07_v3	1388345	1389737		-			-							-			-			
Pf3D7_07_v3	1389738	1393891		-			-							-						
Pf3D7_07_v3	1393892	1398183		-			-													
Pf3D7_07_v3	1398184	1399334		-	-	-	-	-		-										
Pf3D7_07_v3	1399335	1402349		-	-	-	-	-	-	-										
Pf3D7_07_v3	1402350	1404363		-	-	-		-	-	-										
Pf3D7_07_v3	1404364	1413712			-	-		-	-	-										
Pf3D7_07_v3	1413713	1413786			-	-		-	-	-			-				-			
Pf3D7_07_v3	1413787	1413812							-				-				-			
Pf3D7_07_v3	1413813	1414935							-				-	-			-			
Pf3D7_07_v3	1414936	1415316											-	-			-			
Pf3D7_07_v3	1415317	1415416											-				-			
Pf3D7_07_v3	1415417	1415916											-							
Pf3D7_08_v3	30096	31113															-			
Pf3D7_08_v3	31114	32213			-												-			
Pf3D7_08_v3	32214	43196		-	-	-		-	-								-			
Pf3D7_08_v3	43197	44696		-		-		-	-								-			
Pf3D7_08_v3	44697	44796		-		-		-									-			
Pf3D7_08_v3	44797	44896		-				-									-			
Pf3D7_08_v3	44897	62795															-			
Pf3D7_08_v3	62796	63311		-		-	-	-									-			
Pf3D7_08_v3	63312	85654															-			
Pf3D7_08_v3	85655	86364		-						-							-			
Pf3D7_08_v3	86365	235645															-			
Pf3D7_08_v3	456550	457162						-												
Pf3D7_08_v3	1407258	1407941			-															
Pf3D7_08_v3	1407942	1423041			-			-												
Pf3D7_08_v3	1423042	1424041			-	-		-												
Pf3D7_08_v3	1424042	1424752		-	-	-		-												
Pf3D7_08_v3	1424753	1424952		-	-			-												
Pf3D7_08_v3	1424953	1425962			-															
Pf3D7_08_v3	1462977	1463264			-															
Pf3D7_09_v3	35228	36645											-	-						
Pf3D7_09_v3	36646	36745		-									-	-						
Pf3D7_09_v3	36746	37327	-	-				-		-			-	-						
Pf3D7_09_v3	37328	38445	-	-				-		-			-	-			-			
Pf3D7_09_v3	38446	38745	-	-			-	-	-	-			-	-			-			
Pf3D7_09_v3	38746	51061	-	-	-	-	-	-	-	-			-	-			-			
Pf3D7_09_v3	51062	51661	-	-	-	-	-	-	-	-							-			
Pf3D7_09_v3	51662	54192	-	-	-	-	-	-	-								-			
Pf3D7_09_v3	54193	54361	-	-	-	-	-	-	-											
Pf3D7_09_v3	54362	54461	-	-	-		-		-											
Pf3D7_09_v3	54462	55231	-		-		-													
Pf3D7_09_v3	55232	57330	-				-													
Pf3D7_09_v3	57331	57674					-													
Pf3D7_09_v3	57675	63961		-			-			-										
Pf3D7_09_v3	63962	64651		-						-										
Pf3D7_09_v3	64652	66170		-	-					-										
Pf3D7_09_v3	66171	68277		-						-										
Pf3D7_09_v3	1330601	1384813												-						
Pf3D7_09_v3	1384814	1385357			-	-	-	-		-				-						
Pf3D7_09_v3	1385358	1481612												-						
Pf3D7_09_v3	1481613	1483617			-	-								-						
Pf3D7_09_v3	1483618	1484917			-									-						
Pf3D7_09_v3	1484918	1495635												-						
Pf3D7_09_v3	1516863	1519629											+							
Pf3D7_09_v3	1519630	1527124											+				+			
Pf3D7_09_v3	1527125	1527596											+							
Pf3D7_10_v3	40236	44014		-																
Pf3D7_10_v3	493390	493799											-	-			-			
Pf3D7_10_v3	1522044	1524489		-	-		-	-		-										
Pf3D7_10_v3	1524490	1526017		-	-		-	-		-							-			
Pf3D7_10_v3	1526018	1527343		-	-		-	-		-										
Pf3D7_10_v3	1527344	1533647		-	-	-	-	-	-	-										
Pf3D7_10_v3	1533648	1537943			-	-	-		-											
Pf3D7_10_v3	1537944	1538943			-	-			-											
Pf3D7_10_v3	1538944	1539047				-			-											
Pf3D7_10_v3	1542701	1542730											-				-			
Pf3D7_10_v3	1542731	1544487											-	-			-			
Pf3D7_10_v3	1544488	1544813											-				-			
Pf3D7_10_v3	1584527	1588201												-						
Pf3D7_10_v3	1588202	1588580				-								-						
Pf3D7_10_v3	1588581	1589031			-	-								-						
Pf3D7_10_v3	1589032	1589703			-	-														
Pf3D7_10_v3	1589704	1590181			-															
Pf3D7_10_v3	1590330	1590529		-			-			-										
Pf3D7_10_v3	1590530	1590668		-			-	-		-										
Pf3D7_10_v3	1590669	1593472		-			-	-	-	-										
Pf3D7_10_v3	1593473	1593672		-			-	-	-	-			-							
Pf3D7_10_v3	1593673	1594177		-			-	-	-	-			-	-						
Pf3D7_10_v3	1594178	1595084		-			-	-	-	-										
Pf3D7_10_v3	1595085	1596802		-			-	-	-	-				-						
Pf3D7_10_v3	1596803	1601435		-			-	-	-	-										
Pf3D7_10_v3	1601436	1601780							-											
Pf3D7_10_v3	1655153	1667119												+			+			
Pf3D7_10_v3	1667120	1668919												+						
Pf3D7_10_v3	1679450	1680056				-														
Pf3D7_10_v3	1681983	1682486					-	-												
Pf3D7_11_v3	31818	48644											-	-			-			
Pf3D7_11_v3	62073	62157								-										
Pf3D7_11_v3	62158	63779		-		-		-		-										
Pf3D7_11_v3	63780	64063		-		-		-		-							-			
Pf3D7_11_v3	64064	65240		-		-				-							-			
Pf3D7_11_v3	65241	68463		-	-	-				-							-			
Pf3D7_11_v3	68464	70185		-	-					-							-			
Pf3D7_11_v3	70186	71078		-	-					-				-			-			
Pf3D7_11_v3	71079	71545		-	-	-				-				-			-			
Pf3D7_11_v3	71546	74405		-		-				-				-			-			
Pf3D7_11_v3	74406	76663		-		-	-			-				-			-			
Pf3D7_11_v3	76664	80221				-	-			-				-			-			
Pf3D7_11_v3	80222	80881				-	-			-			-	-			-			
Pf3D7_11_v3	80882	81181				-	-		-	-			-	-			-			
Pf3D7_11_v3	81182	81781			-	-	-		-	-			-	-			-			
Pf3D7_11_v3	81782	83826			-	-	-	-	-	-			-	-			-			
Pf3D7_11_v3	83827	84309			-	-	-	-	-	-			-	-						
Pf3D7_11_v3	84310	84409			-	-		-	-	-			-	-						
Pf3D7_11_v3	84410	86847			-	-		-	-				-	-						
Pf3D7_11_v3	86848	87026			-	-		-	-				-							
Pf3D7_11_v3	87027	87491			-	-		-	-											
Pf3D7_11_v3	87492	90544				-														
Pf3D7_11_v3	94847	95775											-							
Pf3D7_11_v3	106728	107551			-															
Pf3D7_11_v3	1022187	1928574															-			
Pf3D7_11_v3	1928575	1930976							-								-			
Pf3D7_11_v3	1930977	2026445															-			
Pf3D7_12_v3	1714304	1716321							-											
Pf3D7_12_v3	1733708	1740655			-															
Pf3D7_12_v3	2176405	2176689															-			
Pf3D7_12_v3	2176690	2177161				-											-			
Pf3D7_12_v3	2177162	2178051				-							-				-			
Pf3D7_12_v3	2178052	2180318				-				-			-				-			
Pf3D7_12_v3	2180319	2180597				-				-			-							
Pf3D7_12_v3	2180598	2180604								-			-							
Pf3D7_12_v3	2180605	2181017						-		-			-							
Pf3D7_12_v3	2181018	2181203	-					-		-			-							
Pf3D7_12_v3	2181204	2181563	-					-		-			-	-						
Pf3D7_12_v3	2181564	2181964	-					-		-				-						
Pf3D7_12_v3	2181965	2183716	-					-						-						
Pf3D7_12_v3	2183717	2185416	-					-												
Pf3D7_12_v3	2185417	2187434	-																	
Pf3D7_12_v3	2195964	2196229															-			
Pf3D7_12_v3	2196230	2196329	-														-			
Pf3D7_12_v3	2196330	2196453	-		-		-	-	-	-							-			
Pf3D7_12_v3	2196454	2201357	-	-	-		-	-	-	-							-			
Pf3D7_12_v3	2201358	2203970	-	-	-	-	-	-	-	-							-			
Pf3D7_12_v3	2203971	2205639	-	-	-	-	-	-	-	-										
Pf3D7_12_v3	2205640	2210668	-	-	-	-	-	-	-											
Pf3D7_12_v3	2210669	2211339	-	-	-		-	-	-											
Pf3D7_12_v3	2211340	2211474	-	-	-		-		-											
Pf3D7_12_v3	2211475	2211539	-		-		-		-											
Pf3D7_12_v3	2211540	2211939	-				-		-											
Pf3D7_12_v3	2211940	2219039	-																	
Pf3D7_12_v3	2239603	2239802			-															
Pf3D7_12_v3	2239803	2240403			-			-												
Pf3D7_13_v3	50476	53775			-	-														
Pf3D7_13_v3	53776	60419			-	-		-												
Pf3D7_13_v3	60420	61781			-	-	-	-												
Pf3D7_13_v3	61782	64228					-													
Pf3D7_13_v3	873423	873522		-									-	-						
Pf3D7_13_v3	873523	873934		-				-					-	-						
Pf3D7_13_v3	1168494	1168576								-										
Pf3D7_13_v3	1168577	1169578								-			-							
Pf3D7_13_v3	1169579	1169929								-										
Pf3D7_13_v3	2847469	2848180		-	-	-				-										
Pf3D7_13_v3	2848181	2848185		-	-	-				-				-						
Pf3D7_13_v3	2848186	2849891		-	-	-			-	-			-	-			-			
Pf3D7_13_v3	2849892	2850091			-	-			-	-			-	-			-			
Pf3D7_13_v3	2850092	2850991				-			-	-			-	-			-			
Pf3D7_13_v3	2850992	2851393							-				-	-			-			
Pf3D7_13_v3	2851394	2851701							-				-				-			
Pf3D7_13_v3	2856178	2856783					-													
Pf3D7_13_v3	2863472	2863571					-													
Pf3D7_13_v3	2863572	2865871			-	-	-	-												
Pf3D7_13_v3	2865872	2869171			-	-	-	-	-											
Pf3D7_13_v3	2869172	2871171							-											
Pf3D7_13_v3	2873649	2873848				-														
Pf3D7_13_v3	2873849	2874453				-	-													
Pf3D7_13_v3	2881287	2881386		-	-		-													
Pf3D7_13_v3	2881387	2881792		-	-		-			-										
Pf3D7_13_v3	2883144	2883361					-													
Pf3D7_13_v3	2883362	2884249		-			-													
Pf3D7_13_v3	2884250	2884462		-																
Pf3D7_13_v3	2914235	2915136											-							
Pf3D7_14_v3	1739005	1739843						-		-										
Pf3D7_14_v3	2972908	3164578								-										
Pf3D7_14_v3	3184196	3217502															-			
Pf3D7_14_v3	3257267	3258166															-			
Pf3D7_14_v3	3258167	3258351											-				-			
Pf3D7_14_v3	3258352	3258451			-			-					-				-			
Pf3D7_14_v3	3258452	3258551			-		-	-					-				-			
Pf3D7_14_v3	3258552	3259362	-		-		-	-	-				-				-			
Pf3D7_14_v3	3259363	3261483	-										-				-			
Pf3D7_14_v3	3261484	3261662	-		-					-			-				-			
Pf3D7_14_v3	3261663	3264074	-		-		-		-	-			-				-			
Pf3D7_14_v3	3264075	3265562	-		-		-		-	-										
Pf3D7_14_v3	3265563	3267093			-		-		-	-										
Pf3D7_14_v3	3267094	3267393					-		-	-										
Pf3D7_14_v3	3267394	3267583					-		-											
Pf3D7_14_v3	3274529	3275634					-													
